efficiency,dark count rate,jitter,entropy production,entropy rate,machine_efficiency,L first gap,d_l,e_max,e_s,rateB,k,Tb_indep_flag,Td_indep_flag,Td_eq_Tb_flag,Max_TV_flag,first_gap_flag,epsilon,scew_flag_TC,scew_factor_TC,TC,TV,g_ml,g_sl,rateD,e_C_factor,rateM,Tb,Td,e_l,e_C,TH
0.7049191506354234,1.4634931431794378e-05,2269.7959291087523,3.490565076965516,0.0037376263770761,0.7792270419257562,0.0004075917902211,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2,0.0538385877287154,-16.95930275348477,0.3035328330851437,1.0064270810188585,1.8677501865799688,0.2833230190890612,1.410631219317236,0.0538385877287154,0.0538385877287154,0.9,0.2549907171801551,0.2466274596163249
0.7104445453985904,9.836128338058208e-05,244.6015540276001,5.435241848458483,0.0249795264016721,0.7898066468186794,0.0034931397446642,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2,0.0532207903806026,-6.010500188096778,1.685228113259351,1.1682513237606411,1.8378233448414496,0.2661326718735199,0.80029232230883,0.0532207903806026,0.0532207903806026,0.9,0.2395194046861679,0.2619134635922803
0.7255615025455006,9.3939729460157e-05,204.4024428044169,4.738379593270225,0.0294950394314838,0.8023429099495614,0.0048179314566911,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2,0.05,-16.53946163195198,1.196127144417734,1.4004950136434222,1.9836294898971008,0.2463498930436914,1.722189936514362,0.05,0.05,0.9,0.2217149037393223,0.2561061482767699
0.7119937999228527,4.571613795932976e-05,619.098990675793,5.029991171607205,0.0141630526484515,0.744644566474223,0.0013786360255566,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2,0.0539256066799017,-6.184777562535174,1.5677824333169186,1.0555105105782647,1.8747563103836828,0.3429225767869975,1.6611253795406498,0.0539256066799017,0.0539256066799017,0.9,0.3086303191082977,0.2166880856916247
0.7066253716454404,0.0003352233761806,85.59239582692895,4.674390198613433,0.0348951726945356,0.8293742848501817,0.0116816644942898,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2,0.0603453829826437,-14.735987925260758,1.9449725275799348,1.9448913861366488,1.8723762697637183,0.2057282438900792,0.4088637433007586,0.0603453829826437,0.0603453829826437,0.9,0.1851554195010713,0.3608540351930792
0.7054485325228351,2.9460194663459975e-07,59565.093103409774,5.380423210700358,0.0002147353803054,0.6343961616190503,1.6788356202289428e-05,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2,0.0507339527657893,-9.412237290105352,1.3810456486081348,1.680979519716712,1.7885403049690982,0.5763020971751901,1.0854357305140556,0.0507339527657893,0.0507339527657893,0.9,0.5186718874576711,0.1400777216155139
0.7049684974170449,7.494313144563106e-05,550.371737526355,4.864164961967789,0.0115776362026465,0.7292013108311327,0.0016302825566201,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2,0.0639724508662281,-16.513616224737287,1.9938957510803323,1.4055120106007342,1.890900959280136,0.3713634152141263,0.6776541720733279,0.0639724508662281,0.0639724508662281,0.9,0.3342270736927137,0.2387264946895496
0.7047798719430233,2.013443445023259e-08,669205.6569418733,4.5692314764797874,2.1189333227926308e-05,0.5542655343556332,1.4943089522470809e-06,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2,0.0591201768221003,-14.814387065815549,1.2887749840656206,1.80633460741654,1.949636206001233,0.8041893966265822,0.5404677517117478,0.0591201768221003,0.0591201768221003,0.9,0.723770456963924,0.1332968926581984
0.710458842202714,0.0001869698834517,167.88378367952228,3.072616908224672,0.0245221780291555,0.8800225750655734,0.0059558700762577,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2,0.0522345909491135,-9.358092943785048,0.382998652977055,1.997518432395312,1.9934320733723656,0.1363344854255434,1.4084529587093242,0.0522345909491135,0.0522345909491135,0.9,0.122701036882989,0.4539558544181817
0.7047721946287999,4.465892006150793e-06,9350.114925071051,3.5680644136958515,0.0009874534711805,0.6476113756203774,0.0001069505560464,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2,0.0649207566550462,-11.305834892119115,0.917691902117992,1.551875808396872,1.9847738106044408,0.5441359396166455,0.3625410692317901,0.0649207566550462,0.0649207566550462,0.9,0.4897223456549809,0.1861954786059784
0.7085480422237994,2.0949107791534858e-07,85045.29770020879,6.664945219045541,0.0001606762543555,0.6290528341596141,1.059242737053647e-05,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2,0.0504560908978185,-1.898394328797849,1.7008467689058575,1.3503155364839894,1.7964062821872793,0.5896915897946065,0.5474773272474707,0.0504560908978185,0.0504560908978185,0.9,0.5307224308151458,0.1424395846730728
