efficiency,dark count rate,jitter,entropy production,entropy rate,machine_efficiency,d_l,e_max,e_s,TH,TC,g_sl,g_ml,e_C,e_C_factor,t_f,t_steps,rateM,rateD,rateB,Tb,Td,k,Tb_indep_flag,Td_indep_flag,e_l,TV
0.3596879474709826,0.03076137923631916,10.205810314193767,1.4240308404281696,0.03097417415951333,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.1,1,True,True,0.9,-1
0.35968791065113953,0.030761365077503062,10.205808433836289,1.4240306961198017,0.030974210586423013,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.11836734693877551,1,True,True,0.9,-1
0.35968757617337294,0.030761236456188387,10.205791352346948,1.4240293851978445,0.030974541495233186,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.13673469387755102,1,True,True,0.9,-1
0.3596858406129233,0.030760569051733366,10.20570271880938,1.4240225829979347,0.030976258551604127,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.15510204081632656,1,True,True,0.9,-1
0.3596796901310163,0.030758203826175196,10.20538861947152,1.4239984773375485,0.030982343659182884,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.17346938775510207,1,True,True,0.9,-1
0.3596630432799693,0.030751801524252498,10.204538483052536,1.4239332330218564,0.030998815136684534,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.19183673469387758,1,True,True,0.9,-1
0.3596260267749487,0.030737562011118623,10.202648104562934,1.4237881529899297,0.03103544988532625,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.21020408163265308,1,True,True,0.9,-1
0.3595549853933205,0.030710221677515484,10.199020179022012,1.4235097159935515,0.031105790351986743,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.2285714285714286,1,True,True,0.9,-1
0.3594332020961919,0.030663316143629365,10.192801139889104,1.4230323964956149,0.031226469299083078,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.2469387755102041,1,True,True,0.9,-1
0.3592420956252122,0.030589615690074165,10.183042429233181,1.4222833540614495,0.03141609068037288,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.2653061224489796,1,True,True,0.9,-1
0.3589626104246501,0.030481623052962863,10.16877163966462,1.421187874571947,0.03169395058746179,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.2836734693877551,1,True,True,0.9,-1
0.35857656048028147,0.030332044605193263,10.149061339474633,1.4196746294157778,0.032078827058500646,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.3020408163265306,1,True,True,0.9,-1
0.35806776994063355,0.030134180297814235,10.123087528805254,1.4176801379336348,0.03258797902152696,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.3204081632653062,1,True,True,0.9,-1
0.35742293046492274,0.02988220905999595,10.090173603390557,1.415152120792045,0.033236413978396724,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.3387755102040817,1,True,True,0.9,-1
0.3566321535047953,0.02957136862509412,10.049818678941405,1.412051660265806,0.034036426749949646,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.3571428571428572,1,True,True,0.9,-1
0.3556892339851409,0.029198041757021294,10.001711091741816,1.4083542329865233,0.03499737821967173,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.3755102040816327,1,True,True,0.9,-1
0.3545916639635588,0.028759766708879465,9.945729033809885,1.4040497668223737,0.036125668066055196,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.3938775510204082,1,True,True,0.9,-1
0.3533404454148091,0.028255190928410216,9.88193083521961,1.3991419143567483,0.03742485256575249,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.41224489795918373,1,True,True,0.9,-1
0.3519397540951242,0.02768398556601195,9.810537562161043,1.3936467459030064,0.03889586242136857,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.43061224489795924,1,True,True,0.9,-1
0.350396504224506,0.027046735656351042,9.73191049502734,1.3875910559381563,0.04053728255988899,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.44897959183673475,1,True,True,0.9,-1
0.3487198584195154,0.026344817811140245,9.646525783925599,1.3810104558722671,0.042345663697486054,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.46734693877551026,1,True,True,0.9,-1
0.3469207202778459,0.025580274364202103,9.554948219698288,1.373947398533539,0.04431584292531131,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.48571428571428577,1,True,True,0.9,-1
0.34501123926727906,0.024755690381401962,9.457805659144444,1.3664492495497602,0.046441257052758055,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.5040816326530613,1,True,True,0.9,-1
0.3430043498509857,0.023874077865561553,9.355765242911966,1.3585664908104802,0.04871423775812946,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.5224489795918368,1,True,True,0.9,-1
0.3409133596183155,0.02293876984460956,9.249512171960667,1.3503511134241295,0.05112628176603167,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.5408163265306123,1,True,True,0.9,-1
0.3387515949369415,0.02195332578393104,9.139731482508418,1.341855233368828,0.053668292423588095,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.5591836734693878,1,True,True,0.9,-1
0.33653210748709567,0.020921448849538306,9.027092990374165,1.33312994308248,0.05633079134831648,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.5775510204081633,1,True,True,0.9,-1
0.33426744103591155,0.01984691490421469,8.912239366859676,1.3242243967402985,0.059104100436096034,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.5959183673469388,1,True,True,0.9,-1
0.33196945491425234,0.018733512686078674,8.795777157500172,1.3151851157434389,0.06197849559891825,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.6142857142857143,1,True,True,0.9,-1
0.3296491987506318,0.01758499434813453,8.678270456054653,1.3060554935279423,0.06494433427807914,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.6326530612244898,1,True,True,0.9,-1
0.3273168319405654,0.016405035386889207,8.560236890746474,1.2968754745961841,0.06799215915445612,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.6510204081632653,1,True,True,0.9,-1
0.32498158091232027,0.015197202924761698,8.442145558917778,1.2876813810098395,0.07111278063727541,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.6693877551020408,1,True,True,0.9,-1
0.3226517273236672,0.013964931308777025,8.324416551071145,1.278505859819454,0.07429734072161917,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.6877551020408164,1,True,True,0.9,-1
0.32033462073810987,0.01271150402681916,8.207421727765091,1.2693779264613867,0.07753736071219394,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.7061224489795919,1,True,True,0.9,-1
0.3180367099551463,0.011440041007526254,8.091486446292837,1.260323081536246,0.08082477515389248,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.7244897959183674,1,True,True,0.9,-1
0.31576358790715237,0.010153490449554655,7.976891973189031,1.2513634812071948,0.08415195411541772,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.7428571428571429,1,True,True,0.9,-1
0.3135200458077845,0.00885462441249713,7.86387835937067,1.2425181444222098,0.08751171576048206,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.7612244897959184,1,True,True,0.9,-1
0.31131013299097277,0.007546037489543337,7.75264759434576,1.2338031830682448,0.09089733092532999,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.7795918367346939,1,True,True,0.9,-1
0.3091372195797714,0.0062301479672896435,7.643366892592414,1.225232043867428,0.09430252121098749,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.7979591836734694,1,True,True,0.9,-1
0.307004059750704,0.00490920095849558,7.53617199790278,1.2168157532483699,0.09772145189961962,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.8163265306122449,1,True,True,0.9,-1
0.3049128539024845,0.0035852730676398416,7.431170419747846,1.2085631585316834,0.10114872082028871,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.8346938775510204,1,True,True,0.9,-1
0.302865308497019,0.0022602782161582763,7.328444539513593,1.2004811605522911,0.10457934412212425,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.8530612244897959,1,True,True,0.9,-1
0.30086269271911326,0.0009359743140259814,7.2280545440156665,1.1925749343161,0.10800873976296567,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.8714285714285714,1,True,True,0.9,-1
0.2989058914069034,-0.00038602948294727026,7.130041159408391,1.1848481354810092,0.11143270938884008,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.889795918367347,1,True,True,0.9,-1
0.29699545394524646,-0.0017042651447715731,7.034428170929195,1.1773030913948213,0.11484741916329726,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.9081632653061225,1,True,True,0.9,-1
0.29513163899996775,-0.0030173979428040794,6.941224723358777,1.1699409761512267,0.11824938000461123,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.926530612244898,1,True,True,0.9,-1
0.29331445510927945,-0.004324218570010566,6.85042740409849,1.1627619696720457,0.12163542760185035,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.9448979591836735,1,True,True,0.9,-1
0.2915436972491945,-0.005623635317835945,6.7620221158139,1.1557654012230403,0.1250027025064685,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.963265306122449,1,True,True,0.9,-1
0.2898189795597729,-0.006914666397103135,6.675985749061308,1.1489498780499774,0.12834863053294493,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.9816326530612246,1,True,True,0.9,-1
0.2881397644639765,-0.00819643246982495,6.592287667525246,1.1423134000042727,0.13167090364889603,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,1.0,1,True,True,0.9,-1
0.3609121186673362,0.01958651791352549,17.004071368659314,1.423634889545001,0.019073671971290947,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.1,1,True,True,0.9,-2
0.3609120570897605,0.01958650308617113,17.004065969826236,1.4236346408225438,0.019073711398855036,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.11836734693877551,1,True,True,0.9,-2
0.36091149770902375,0.019586368391746243,17.004016925965182,1.423632381387425,0.019074069566189303,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.13673469387755102,1,True,True,0.9,-2
0.36090859517784885,0.01958566947460686,17.003762445904897,1.4236206575663886,0.019075928064443467,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.15510204081632656,1,True,True,0.9,-2
0.3608983094607886,0.01958319257268875,17.002860645655527,1.4235791118219578,0.01908251442837666,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.17346938775510207,1,True,True,0.9,-2
0.36087047238363024,0.019576487995322394,17.00042004758379,1.4234666734130692,0.019100342715227304,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.19183673469387758,1,True,True,0.9,-2
0.3608085842784675,0.019561576264193914,16.994994139780008,1.423216698690815,0.019139995099947852,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.21020408163265308,1,True,True,0.9,-2
0.3606898537011267,0.019532945559421505,16.984585046655468,1.422737134042313,0.019216129232433297,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.2285714285714286,1,True,True,0.9,-2
0.36048645301599475,0.019483827190350002,16.966754028809447,1.4219155929758243,0.019346746984802436,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.2469387755102041,1,True,True,0.9,-2
0.36016761111323653,0.019406652226880535,16.938805689638105,1.4206278186782477,0.019551982424573438,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.2653061224489796,1,True,True,0.9,-2
0.35970206748031475,0.01929357373528154,16.898004178015004,1.4187476103277945,0.01985271633253267,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.2836734693877551,1,True,True,0.9,-2
0.35906047646279293,0.019136961370288804,16.841785226682582,1.4161565508853466,0.02026926494682932,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.3020408163265306,1,True,True,0.9,-2
0.35821747414972227,0.01892981097016349,16.767938598759596,1.4127523719341755,0.020820294876821393,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.3204081632653062,1,True,True,0.9,-2
0.35715324281364286,0.01866604456283969,16.67474620266014,1.4084552852213557,0.02152202886064959,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.3387755102040817,1,True,True,0.9,-2
0.3558545068386521,0.018340699516475496,16.56106983480234,1.4032120107127233,0.022387745042614003,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.3571428571428572,1,True,True,0.9,-2
0.3543149668021672,0.017950019233855558,16.426388969912978,1.3969975258948042,0.023427536293011763,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.3755102040816327,1,True,True,0.9,-2
0.3525352285417606,0.017491463993566263,16.270793539941923,1.3898147653609276,0.024648279880866483,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.3938775510204082,1,True,True,0.9,-2
0.3505223158427876,0.01696366185362668,16.09493955961813,1.381692629932294,0.026053764624638234,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.41224489795918373,1,True,True,0.9,-2
0.34828887200728714,0.01636631806971295,15.899977019192105,1.3726827331331617,0.027644926800412473,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.43061224489795924,1,True,True,0.9,-2
0.34585215954339,0.015700098713057872,15.687459873934813,1.3628553297133694,0.029420153621468187,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.44897959183673475,1,True,True,0.9,-2
0.34323296098134903,0.014966501017935133,15.459247423958736,1.352294845852447,0.03137562156833817,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.46734693877551026,1,True,True,0.9,-2
0.34045447008543944,0.01416771995586635,15.217405139698018,1.3410953747043535,0.033505644893876675,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.48571428571428577,1,True,True,0.9,-2
0.33754124437176714,0.013306517869954284,14.964111315032504,1.3293564258922765,0.035803016619895156,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.5040816326530613,1,True,True,0.9,-2
0.33451826965497927,0.012386101796226201,14.70157408363387,1.3171791349626283,0.03825933007580315,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.5224489795918368,1,True,True,0.9,-2
0.3314101677200362,0.011410011349748844,14.431961539373667,1.304663058515064,0.04086527353305238,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.5408163265306123,1,True,True,0.9,-2
0.3282405609049839,0.010382018718121494,14.157346123575163,1.2919036099863401,0.04361089390082194,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.5591836734693878,1,True,True,0.9,-2
0.3250315934319393,0.009306041322560079,13.879663177646366,1.2789901341740495,0.04648582794629261,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.5775510204081633,1,True,True,0.9,-2
0.3218035991194896,0.008186067012505138,13.600682643710305,1.2660045770990942,0.04947950126542706,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.5959183673469388,1,True,True,0.9,-2
0.3185748985174571,0.007026091193376483,13.321992313789634,1.2530206811446962,0.052581296419529175,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.6142857142857143,1,True,True,0.9,-2
0.31536170504427785,0.005830064995643975,13.044990733470032,1.2401036215722765,0.055780692405204106,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.6326530612244898,1,True,True,0.9,-2
0.3121781187259794,0.0046018534326126015,12.770887796680233,1.2273099967974883,0.059067378053111116,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.6510204081632653,1,True,True,0.9,-2
0.3090361869433157,0.0033452024282131783,12.500711159385634,1.2146880883629703,0.06243134214288174,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.6693877551020408,1,True,True,0.9,-2
0.30594601355553364,0.0020637135961875932,12.23531679255783,1.2022783147581348,0.06586294304696035,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.6877551020408164,1,True,True,0.9,-2
0.302915900356154,0.0007608256965061142,11.975402240194796,1.1901138139429321,0.06935296062822216,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.7061224489795919,1,True,True,0.9,-2
0.2999525076262821,-0.0005601982329246523,11.721521409914939,1.1782211009930912,0.07289263295485414,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.7244897959183674,1,True,True,0.9,-2
0.29706102330258793,-0.0018962789833294668,11.474099976654582,1.1666207585565513,0.0764736801909988,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.7428571428571429,1,True,True,0.9,-2
0.2942453327932989,-0.0032445253401882593,11.233450708892862,1.155328128082,0.08008831779462812,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.7612244897959184,1,True,True,0.9,-2
0.29150818366282844,-0.004602235030021818,10.999788223810508,1.144353978681374,0.08372926092049662,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.7795918367346939,1,True,True,0.9,-2
0.2888513412288947,-0.005966893079963259,10.77324284042788,1.1337051378841123,0.08738972169640054,0.6832298136645962,3,1,0.1,1.3999999999999997,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3,0.7979591836734694,1,True,True,0.9,-2
