efficiency,dark count rate,jitter,entropy production,entropy rate,machine_efficiency,L first gap,d_l,e_max,e_s,TH,TC,g_sl,g_ml,e_C,e_C_factor,t_f,t_steps,rateM,rateD,rateB,Tb,Td,k,Tb_indep_flag,Td_indep_flag,Td_eq_Tb_flag,Max_TV_flag,first_gap_flag,epsilon,e_l,TV
0.33334080550958284,-1.7089811642981108e-05,7.261528950945829,-233.6354403999237,285.8133887315104,0.7692307692307693,,3,1,0.1,433.3376666634721,0.001,1,2,0.27,0.3,3000,3000,1,0.5,1,0.1,0.1,1,False,False,False,True,False,1e-05,0.9,-0.003333366666666667
0.33333333333333326,-1.536736881980928e-16,7.259988718861818,-200.21536357923858,243.06612854726794,0.7692307692307693,,3,1,0.1,515.6032239825831,0.0011898416954165636,1,2,0.27,0.3,3000,3000,1,0.5,1,0.001,0.001,1,False,False,False,True,False,1e-05,0.9,-0.0039661786461117265
0.3333333333333343,-6.082922132315084e-17,7.258696691774071,-168.283434852853,204.31534754195735,0.7692307692307693,,3,1,0.1,613.4862141855828,0.0014157232601517624,1,2,0.27,0.3,3000,3000,1,0.5,1,0.0011898416954165636,0.0011898416954165636,1,False,False,False,True,False,1e-05,0.9,-0.004719124724614547
0.33333333333333326,1.558231121324961e-17,7.257611173616193,-141.44253866999762,171.7382525025405,0.7692307692307693,,3,1,0.1,729.9514772109159,0.0016844865640996377,1,2,0.27,0.3,3000,3000,1,0.5,1,0.0014157232601517624,0.0014157232601517624,1,False,False,False,True,False,1e-05,0.9,-0.005615011363217596
0.33333333333333337,3.869950058000692e-17,7.256699108688676,-118.88149829680565,144.35248620976722,0.7692307692307693,,3,1,0.1,868.5267032113425,0.0020042723493347344,1,2,0.27,0.3,3000,3000,1,0.5,1,0.0016844865640996377,0.0016844865640996377,1,False,False,False,True,False,1e-05,0.9,-0.006680974640194093
0.33333333333333387,2.911564368624078e-17,7.255932746782853,-99.91823646985537,121.33164517961976,0.7692307692307693,,3,1,0.1,1033.4092850512213,0.0023847668102089797,1,2,0.27,0.3,3000,3000,1,0.5,1,0.0020042723493347344,0.0020042723493347344,1,False,False,False,True,False,1e-05,0.9,-0.007949302192923608
0.33333333333333326,6.16906476170201e-19,7.255288787449603,-83.97927291237836,101.98062704168944,0.7692307692307693,,3,1,0.1,1229.5934557985456,0.0028374949846322025,1,2,0.27,0.3,3000,3000,1,0.5,1,0.0023847668102089797,0.0023847668102089797,1,False,False,False,True,False,1e-05,0.9,-0.00945841119860683
0.33333333333333337,3.9302730128951185e-17,7.254747663517351,-70.58246497617924,85.71484368823062,0.7692307692307693,,3,1,0.1,1463.0215621267255,0.0033761698432507757,1,2,0.27,0.3,3000,3000,1,0.5,1,0.0028374949846322025,0.0028374949846322025,1,False,False,False,True,False,1e-05,0.9,-0.011254012016497362
0.3333333333333333,2.1455020798733008e-17,7.254292940841534,-59.3224822155028,72.04270326759922,0.7692307692307693,,3,1,0.1,1740.7640559185872,0.004017107650307776,1,2,0.27,0.3,3000,3000,1,0.5,1,0.0033761698432507757,0.0033761698432507757,1,False,False,False,True,False,1e-05,0.9,-0.0133904927379476
0.33333333333333365,-6.619378329413455e-17,7.253910815177915,-49.858584516216034,60.550853497871366,0.7692307692307693,,3,1,0.1,2071.2336556235455,0.004779722177313052,1,2,0.27,0.3,3000,3000,1,0.5,1,0.004017107650307776,0.004017107650307776,1,False,False,False,True,False,1e-05,0.9,-0.015932566581782753
0.33333333333333315,2.6155301706246115e-17,7.253589690284846,-41.90434035821466,50.891755630944715,0.7692307692307693,,3,1,0.1,2464.4401644122413,0.005687112739074311,1,2,0.27,0.3,3000,3000,1,0.5,1,0.004779722177313052,0.004779722177313052,1,False,False,False,True,False,1e-05,0.9,-0.01895723203400567
0.3333333333595975,1.2026525215322495e-14,7.2533198240012355,-35.2189785553476,42.77322420130807,0.7692307692307693,,3,1,0.1,2932.293663430512,0.006766763863485315,1,2,0.27,0.3,3000,3000,1,0.5,1,0.005687112739074311,0.005687112739074311,1,False,False,False,True,False,1e-05,0.9,-0.0225561051037465
0.33333333332842746,1.3433180284265988e-12,7.2530930313186825,-29.600114963559722,35.949623853666516,0.7692307692307693,,3,1,0.1,3488.9652639250294,0.008051377787812902,1,2,0.27,0.3,3000,3000,1,0.5,1,0.006766763863485315,0.006766763863485315,1,False,False,False,True,False,1e-05,0.9,-0.026838194338635938
0.33333333307511004,7.070479337088863e-11,7.252902433862394,-24.8776360254119,30.214462342166733,0.7692307692307693,,3,1,0.1,4151.316344971911,0.009579864997490565,1,2,0.27,0.3,3000,3000,1,0.5,1,0.008051377787812902,0.008051377787812902,1,False,False,False,True,False,1e-05,0.9,-0.0319332026538018
0.3333333261119027,1.97736309758581e-09,7.252742221760112,-20.908555596788048,25.394159297802364,0.7692307692307693,,3,1,0.1,4939.409278075139,0.011398522810475967,1,2,0.27,0.3,3000,3000,1,0.5,1,0.009579864997490565,0.009579864997490565,1,False,False,False,True,False,1e-05,0.9,-0.03799545598568024
0.33333321463434323,3.2501999844151995e-08,7.252607073971966,-17.57268687955785,21.342803746980863,0.7692307692307693,,3,1,0.1,5877.115109649556,0.013562437706061097,1,2,0.27,0.3,3000,3000,1,0.5,1,0.011398522810475967,0.011398522810475967,1,False,False,False,True,False,1e-05,0.9,-0.0452085777681272
0.33333208517161356,3.4177948154313563e-07,7.252488756063347,-14.768979966699083,17.93773644991862,0.7692307692307694,,3,1,0.1,6992.836606528777,0.016137153874161266,1,2,0.27,0.3,3000,3000,1,0.5,1,0.013562437706061097,0.013562437706061097,1,False,False,False,True,False,1e-05,0.9,-0.05379105081900003
0.3333243163996115,2.469119050730553e-06,7.252360588145578,-12.412349647487932,15.075797908637904,0.7692307692307693,,3,1,0.1,8320.368563590851,0.019200658524830005,1,2,0.27,0.3,3000,3000,1,0.5,1,0.016137153874161266,0.016137153874161266,1,False,False,False,True,False,1e-05,0.9,-0.0640028351047175
0.33328582253593086,1.301057269411807e-05,7.25213742303739,-10.430788972468697,12.670070485476346,0.7692307692307693,,3,1,0.1,9899.92143799474,0.02284574409229823,1,2,0.27,0.3,3000,3000,1,0.5,1,0.019200658524830005,0.019200658524830005,1,False,False,False,True,False,1e-05,0.9,-0.07615324183246384
0.3331413541097552,5.25801069110946e-05,7.251646906428574,-8.762664181282528,10.646956371938979,0.7692307692307693,,3,1,0.1,11779.33930824305,0.027182818883833063,1,2,0.27,0.3,3000,3000,1,0.5,1,0.02284574409229823,0.02284574409229823,1,False,False,False,True,False,1e-05,0.9,-0.09061030237340635
0.33271299602518284,0.0001699639076305383,7.250794290346623,-7.354409331430748,8.943557067595773,0.7692307692307693,,3,1,0.1,14015.549053661549,0.03234325130694131,1,2,0.27,0.3,3000,3000,1,0.5,1,0.027182818883833063,0.027182818883833063,1,False,False,False,True,False,1e-05,0.9,-0.10781191579818128
0.3316737661772732,0.0004550438654806045,7.250225836449118,-6.159164782290259,7.505575998918058,0.7692307692307693,,3,1,0.1,16676.28464796811,0.038483348970335035,1,2,0.27,0.3,3000,3000,1,0.5,1,0.03234325130694131,0.03234325130694131,1,False,False,False,True,False,1e-05,0.9,-0.12827911267941583
0.329550766372542,0.0010384232305335446,7.252586622960683,-5.136795138397729,6.286157184776753,0.7692307692307693,,3,1,0.1,19842.138799100954,0.0457890931841707,1,2,0.27,0.3,3000,3000,1,0.5,1,0.038483348970335035,0.038483348970335035,1,False,False,False,True,False,1e-05,0.9,-0.1526318369170085
0.3258128697606989,0.0020676592973146476,7.263860542435525,-4.255032337254357,5.245868374365412,0.7692307692307693,,3,1,0.1,23609.004068981216,0.05448177226584068,1,2,0.27,0.3,3000,3000,1,0.5,1,0.0457890931841707,0.0457890931841707,1,False,False,False,True,False,1e-05,0.9,-0.18160772361187782
