efficiency,dark count rate,jitter,entropy production,entropy rate,machine_efficiency,d_l,e_max,e_s,TH,TC,g_sl,g_ml,e_C,e_C_factor,t_f,t_steps,rateM,rateD,rateB,Tb,Td,k,Tb_indep_flag,Td_indep_flag,Td_eq_Tb_flag,e_l,TV
0.49095670800757085,0.009671183674508178,10.147260535603975,1.3780376014812983,0.09545720260021755,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.1,0.1,1,True,True,True,0.9,-1
0.4701804592348209,0.012853922438125177,10.164613448015693,1.3883678823006307,0.08581962230074094,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.11836734693877551,0.11836734693877551,1,True,True,True,0.9,-1
0.4515244486565665,0.015742990341787666,10.18351890297947,1.3967639100085134,0.07705280988256756,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.13673469387755102,0.13673469387755102,1,True,True,True,0.9,-1
0.4351088184242873,0.018309870757290535,10.202430154894174,1.4034225757477694,0.06924825358143252,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.15510204081632656,0.15510204081632656,1,True,True,True,0.9,-1
0.4207659982699381,0.020571362860780096,10.219812999791058,1.4086410613543288,0.06235884703604876,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.17346938775510207,0.17346938775510207,1,True,True,True,0.9,-1
0.408236946889185,0.02255981183322521,10.234042924007998,1.4126903133639832,0.056287827787853455,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.19183673469387758,0.19183673469387758,1,True,True,True,0.9,-1
0.397253214640659,0.02430999102641729,10.243322538697845,1.4157757547800136,0.05092832165997655,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.21020408163265308,0.21020408163265308,1,True,True,True,0.9,-1
0.38756787076069205,0.025853865734737327,10.24567898653623,1.4180336334906511,0.04617960557570979,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.2285714285714286,0.2285714285714286,1,True,True,True,0.9,-1
0.37896481872502646,0.027218936018165985,10.23904147960344,1.4195411371908153,0.041952818036543445,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.2469387755102041,0.2469387755102041,1,True,True,True,0.9,-1
0.3712595076631298,0.02842813171536861,10.221370385619574,1.4203310647736809,0.038172043418988263,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.2653061224489796,0.2653061224489796,1,True,True,True,0.9,-1
0.3642965449439773,0.02950031770258658,10.190803761238092,1.4204069699376551,0.034773486750292265,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.2836734693877551,0.2836734693877551,1,True,True,True,0.9,-1
0.357946436253671,0.03045097839910276,10.145793163968206,1.4197568552072042,0.031703972695587244,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3020408163265306,0.3020408163265306,1,True,True,True,0.9,-1
0.35210228831723095,0.0312928921935045,10.08520987988565,1.4183645099294415,0.028919317863969996,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3204081632653062,0.3204081632653062,1,True,True,True,0.9,-1
0.34667674196684223,0.032036721102824295,10.00841161520516,1.4162181330525514,0.026382808004427584,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3387755102040817,0.3387755102040817,1,True,True,True,0.9,-1
0.3415991886558703,0.03269149473116053,9.915267005102608,1.4133162172000626,0.02406386439201918,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3571428571428572,0.3571428571428572,1,True,True,True,0.9,-1
0.3368132557308249,0.03326499176557645,9.806140806300865,1.409670894988757,0.021936916460009098,0.7692307692307693,3,1,0.1,5674535530486825.0,0.3,1,1,0.27,0.3,3000,3000,1,1,0.8,0.3755102040816327,0.3755102040816327,1,True,True,True,0.9,-1
