efficiency,dark count rate,jitter,entropy production,entropy rate,machine_efficiency,d_l,e_max,e_s,TH,TC,g_sl,g_ml,e_C,e_C_factor,t_f,t_steps,rateM,rateD,rateB,Tb,Td,k,Tb_indep_flag,Td_indep_flag,e_l,TV
0.545740661513537,5.535976215629895e-06,3105.4552263826045,7.92099123613241,0.0028681561628919466,0.6493506493506492,3,1,0.1,0.175,0.05,1,1,0.27,0.3,3000,3000,1,1,0.8,0.05,0.05,1,False,False,0.9,-0.5
0.5414325390434211,2.007942767222261e-05,1232.5500713380331,7.207433906452598,0.006446912622167551,0.6565126050420168,3,1,0.1,0.20322580645161287,0.05510204081632653,1,1,0.27,0.3,3000,3000,1,1,0.8,0.05510204081632653,0.05510204081632653,1,False,False,0.9,-0.5
0.536491409763221,5.8201894314032586e-05,573.9316054195526,6.6175201091963745,0.012413274127562948,0.6635441061670571,3,1,0.1,0.23465909090909087,0.06020408163265306,1,1,0.27,0.3,3000,3000,1,1,0.8,0.06020408163265306,0.06020408163265306,1,False,False,0.9,-0.5
0.5310528134843467,0.00014183071349755888,302.3936679162662,6.1216351860418,0.02119907201401039,0.6704486848891181,3,1,0.1,0.2698795180722892,0.0653061224489796,1,1,0.27,0.3,3000,3000,1,1,0.8,0.0653061224489796,0.0653061224489796,1,False,False,0.9,-0.5
0.5252492504852401,0.0003011540039910502,175.73742940192741,5.698738535851395,0.03290532564779292,0.6772297469971887,3,1,0.1,0.3096153846153845,0.07040816326530612,1,1,0.27,0.3,3000,3000,1,1,0.8,0.07040816326530612,0.07040816326530612,1,False,False,0.9,-0.5
0.5192008747326601,0.0005718622777080239,110.58603052347092,5.333514853291358,0.047254230633046006,0.6838905775075987,3,1,0.1,0.3547945205479452,0.07551020408163266,1,1,0.27,0.3,3000,3000,1,1,0.8,0.07551020408163266,0.07551020408163266,1,False,False,0.9,-0.5
0.513010983570706,0.0009902454822476531,74.31737405055486,5.014589398786568,0.06362324355109376,0.6904343459703741,3,1,0.1,0.4066176470588234,0.08061224489795918,1,1,0.27,0.3,3000,3000,1,1,0.8,0.08061224489795918,0.08061224489795918,1,False,False,0.9,-0.5
0.5067647019233598,0.0015873586099019513,52.776918324873336,4.733367903907772,0.08114657486943283,0.6968641114982579,3,1,0.1,0.46666666666666656,0.08571428571428572,1,1,0.27,0.3,3000,3000,1,1,0.8,0.08571428571428572,0.08571428571428572,1,False,False,0.9,-0.5
0.5005296569610953,0.0023838418744132144,39.2777271605738,4.483258610435164,0.09885453940148153,0.703182827535159,3,1,0.1,0.5370689655172413,0.09081632653061225,1,1,0.27,0.3,3000,3000,1,1,0.8,0.09081632653061225,0.09081632653061225,1,False,False,0.9,-0.5
0.4943577882278773,0.003386741356818393,30.428151938774537,4.259136525946718,0.11581522887457227,0.7093933463796478,3,1,0.1,0.6207547169811319,0.09591836734693877,1,1,0.27,0.3,3000,3000,1,1,0.8,0.09591836734693877,0.09591836734693877,1,False,False,0.9,-0.5
0.4882876935453474,0.0045889556444488585,24.401388995149922,4.056966153130178,0.13124769208065332,0.7154984234780499,3,1,0.1,0.7218749999999996,0.1010204081632653,1,1,0.27,0.3,3000,3000,1,1,0.8,0.1010204081632653,0.1010204081632653,1,False,False,0.9,-0.5
0.482347094508913,0.005971087743674808,20.161584994641057,3.8735309535568248,0.1445888910963665,0.7215007215007215,3,1,0.1,0.8465116279069764,0.10612244897959183,1,1,0.27,0.3,3000,3000,1,1,0.8,0.10612244897959183,0.10612244897959183,1,False,False,0.9,-0.5
0.47655514817475875,0.007504872564448737,17.09470353078726,3.70623659154189,0.15551225848760308,0.7274028142141665,3,1,0.1,1.0039473684210527,0.11122448979591837,1,1,0.27,0.3,3000,3000,1,1,0.8,0.11122448979591837,0.11122448979591837,1,False,False,0.9,-0.5
0.4709244499613747,0.009157155164509866,14.822386346343492,3.5529662993006035,0.1639077233980596,0.7332071901608326,3,1,0.1,1.2090909090909083,0.11632653061224489,1,1,0.27,0.3,3000,3000,1,1,0.8,0.11632653061224489,0.11632653061224489,1,False,False,0.9,-0.5
0.46546266809420256,0.010893561419495816,13.103431995585803,3.4119736706495005,0.16983858748829797,0.7389162561576355,3,1,0.1,1.4874999999999998,0.12142857142857143,1,1,0.27,0.3,3000,3000,1,1,0.8,0.12142857142857143,0.12142857142857143,1,False,False,0.9,-0.5
0.46017381777805483,0.012681349195117741,11.779382727641917,3.2818026261755247,0.17349012801722138,0.7445323406235458,3,1,0.1,1.8869565217391286,0.12653061224489795,1,1,0.27,0.3,3000,3000,1,1,0.8,0.12653061224489795,0.12653061224489795,1,False,False,0.9,-0.5
0.4550592225405746,0.01449127511783002,10.743318924728895,3.161227230875717,0.1751208081226676,0.7500576967459035,3,1,0.1,2.508333333333332,0.13163265306122449,1,1,0.27,0.3,3000,3000,1,1,0.8,0.13163265306122449,0.13163265306122449,1,False,False,0.9,-0.5
0.4501182252750936,0.01629855744650835,9.921352072035072,3.0492060717481366,0.1750221245499161,0.7554945054945055,3,1,0.1,3.607692307692306,0.13673469387755102,1,1,0.27,0.3,3000,3000,1,1,0.8,0.13673469387755102,0.13673469387755102,1,False,False,0.9,-0.5
