efficiency,dark count rate,jitter,entropy production,entropy rate,machine_efficiency,L first gap,ss noise,d_l,e_max,e_s,TH,TC,g_sl,g_ml,e_C,e_C_factor,t_f,t_steps,rateM,rateD,rateB,Tb,Td,k,Tb_indep_flag,Td_indep_flag,Td_eq_Tb_flag,Max_TV_flag,first_gap_flag,epsilon,noise_flag,e_l,TV
0.4042905654844109,-0.03527497982970346,2.6183344205172947,0.36284696672882744,0.039199863084063195,0.9259259259259259,,,3,0.11,0.1,2.3142857142857154,0.1,1,1,0.0007999999999999996,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,0.009999999999999995,-3
0.3939653252765046,-0.029290437252867858,4.916299717884449,0.14885615131904806,0.09443211830456281,0.9259259259259259,,,3,0.17517241379310344,0.1,2.3142857142857145,0.1,1,1,0.006013793103448275,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,0.07517241379310344,-3
0.40435988530411604,-0.016610830522278623,7.802664241781529,-0.07715884144278277,0.1607030862467495,0.9259259259259259,,,3,0.2403448275862069,0.1,2.314285714285715,0.1,1,1,0.011227586206896551,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,0.1403448275862069,-3
0.4259733440087893,-0.006601261287122128,10.09660867411312,-0.34433569720860935,0.22323741379883916,0.9259259259259259,,,3,0.3055172413793103,0.1,2.314285714285714,0.1,1,1,0.016441379310344825,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,0.2055172413793103,-3
0.4450311457950937,-0.0004617357937501599,11.464349082157726,-0.6421807168640064,0.28488137402990416,0.9259259259259259,,,3,0.37068965517241376,0.1,2.3142857142857145,0.1,1,1,0.021655172413793097,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,0.2706896551724137,-3
0.4574913642525879,0.0029803427254854863,12.170933884165873,-0.950763601467869,0.34820158701862175,0.9259259259259259,,,3,0.4358620689655172,0.1,2.3142857142857145,0.1,1,1,0.026868965517241376,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,0.3358620689655172,-3
0.4646500022129203,0.004845600748148349,12.509497509361081,-1.259625492105377,0.4136795887683401,0.9259259259259259,,,3,0.5010344827586206,0.1,2.314285714285715,0.1,1,1,0.03208275862068965,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,0.40103448275862064,-3
0.4685167749584047,0.005844759619916639,12.661182220375645,-1.5659315931039561,0.4809122079066627,0.9259259259259259,,,3,0.5662068965517241,0.1,2.314285714285714,0.1,1,1,0.03729655172413793,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,0.4662068965517241,-3
0.47053092501768984,0.006379486515889871,12.722769109443425,-1.869941340295755,0.5493266503978326,0.9259259259259259,,,3,0.6313793103448275,0.1,2.314285714285714,0.1,1,1,0.042510344827586206,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,0.5313793103448275,-3
0.47154658636011826,0.006666968256507088,12.744005156538837,-2.172657897228843,0.6184189967135278,0.9259259259259259,,,3,0.696551724137931,0.1,2.3142857142857145,0.1,1,1,0.04772413793103448,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,0.596551724137931,-3
0.47203533586306856,0.006822390533032159,12.750239270640538,-2.4749931858359306,0.6877935849000263,0.9259259259259259,,,3,0.7617241379310344,0.1,2.314285714285714,0.1,1,1,0.05293793103448276,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,0.6617241379310345,-3
0.472249387083894,0.006906296574526936,12.754361110464094,-2.7775785753218645,0.7571438802244327,0.9259259259259259,,,3,0.8268965517241379,0.1,2.314285714285714,0.1,1,1,0.058151724137931037,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,0.7268965517241379,-3
0.4723216334433225,0.006950381285114058,12.762906427273021,-3.0807914414249638,0.8262254230385664,0.9259259259259259,,,3,0.8920689655172412,0.1,2.314285714285714,0.1,1,1,0.0633655172413793,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,0.7920689655172413,-3
0.4723215750781846,0.0069712187769476585,12.77916688564485,-3.3848296501477577,0.8948344947363877,0.9259259259259259,,,3,0.9572413793103447,0.1,2.3142857142857145,0.1,1,1,0.06857931034482757,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,0.8572413793103447,-3
0.4722853910788909,0.006977488213866916,12.804777448901168,-3.6897793040340954,0.9627939301223384,0.9259259259259259,,,3,1.0224137931034483,0.1,2.3142857142857145,0.1,1,1,0.07379310344827586,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,0.9224137931034483,-3
0.47223182732887986,0.006973756625921452,12.840529011398884,-3.9956636753019104,1.0299444378279161,0.9259259259259259,,,3,1.0875862068965516,0.1,2.3142857142857145,0.1,1,1,0.07900689655172413,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,0.9875862068965516,-3
0.4721705245198448,0.006962453720713394,12.886785490833658,-4.30247492468162,1.0961395755731018,0.9259259259259259,,,3,1.1527586206896552,0.1,2.314285714285715,0.1,1,1,0.0842206896551724,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,1.052758620689655,-3
0.4721063703354429,0.006944901245281671,12.943698372993257,-4.610193198007112,1.1612429822020254,0.9259259259259259,,,3,1.2179310344827585,0.1,2.3142857142857145,0.1,1,1,0.08943448275862068,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,1.1179310344827584,-3
0.47204177324104435,0.006921848980342466,13.011317273089768,-4.918797284442052,1.225126942502586,0.9259259259259259,,,3,1.283103448275862,0.1,2.314285714285715,0.1,1,1,0.09464827586206896,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,1.183103448275862,-3
0.47197785234647,0.006893753539987677,13.08964699666956,-5.228269886060193,1.287671710961562,0.9259259259259259,,,3,1.3482758620689654,0.1,2.3142857142857145,0.1,1,1,0.09986206896551723,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,1.2482758620689653,-3
0.47191506211206846,0.006860923156552673,13.178677015464151,-5.538599537976099,1.3487652501682381,0.9259259259259259,,,3,1.413448275862069,0.1,2.314285714285715,0.1,1,1,0.10507586206896552,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,1.313448275862069,-3
0.4718535219196494,0.0068235926472498465,13.278396685664415,-5.849780506397636,1.4083031817603149,0.9259259259259259,,,3,1.4786206896551723,0.1,2.3142857142857145,0.1,1,1,0.11028965517241378,0.08,3000,3000,1,0.8,0.7,0.1,0.1,1,False,False,False,False,False,1e-06,True,1.3786206896551723,-3
