efficiency,dark count rate,jitter,entropy production,entropy rate,machine_efficiency,L first gap,ss noise,d_l,e_max,e_s,TH,TC,g_sl,g_ml,e_C,e_C_factor,t_f,t_steps,rateM,rateD,rateB,Tb,Td,k,Tb_indep_flag,Td_indep_flag,Td_eq_Tb_flag,Max_TV_flag,first_gap_flag,epsilon,noise_flag,e_C_independent_flag,e_l,TV
0.2532759305025156,-0.016652750221333917,1.7711043742617705,0.08175488540546208,0.00483295628735996,0.0909090909090909,0.5607291824174283,0.14379035631367726,3,0.11,0.1,0.44594594594594594,0.4,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.4,0.4,1,False,False,False,False,True,1e-06,True,True,0.009999999999999995,-3
0.2501298442810511,-0.022051547996770237,2.0552741916782753,0.04866129268390097,0.014043232571059041,0.4291338582677165,0.48490041838663595,0.1333328514184045,3,0.17517241379310344,0.1,0.7787429739397036,0.4,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.4,0.4,1,False,False,False,False,True,1e-06,True,True,0.07517241379310344,-3
0.24766003282490334,-0.025189550104929667,2.4034973275781994,0.016698799424957573,0.02781997264073326,0.5839311334289813,0.4137497009332859,0.1225856802933396,3,0.2403448275862069,0.1,1.1826923076923077,0.4,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.4,0.4,1,False,False,False,False,True,1e-06,True,True,0.1403448275862069,-3
0.24599780157467444,-0.026301054641510616,2.814814252905933,-0.014788905914861393,0.04481251778065379,0.6726862302483069,0.3523444174277586,0.11199939426068597,3,0.3055172413793103,0.1,1.6833438885370482,0.4,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.4,0.4,1,False,False,False,False,True,1e-06,True,True,0.2055172413793103,-3
0.24525227211156578,-0.02572288046827411,3.2846974121271613,-0.04646811251808016,0.06373770091092659,0.7302325581395348,0.30151104572534104,0.10191305577729645,3,0.37068965517241376,0.1,2.3201438848920857,0.4,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.4,0.4,1,False,False,False,False,True,1e-06,True,True,0.2706896551724137,-3
0.2454915282771071,-0.023837467802608578,3.8057511991229247,-0.07899333551440146,0.0835230955488458,0.7705696202531644,0.2601787324355631,0.09254083180093117,3,0.4358620689655172,0.1,3.1573688592839284,0.4,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.4,0.4,1,False,False,False,False,True,1e-06,True,True,0.3358620689655172,-3
0.24672924587228573,-0.021023701562384887,4.368523284465324,-0.11297609426661685,0.10336928104074057,0.800412938747419,0.22651920506225148,0.08398748056149921,3,0.5010344827586206,0.1,4.307312252964426,0.4,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.4,0.4,1,False,False,False,False,True,1e-06,True,True,0.40103448275862064,-3
0.24892038848332407,-0.01762224486489871,4.962290635777219,-0.14894849571207203,0.12274814002720992,0.8233861144945188,0.1958968644303385,0.0762776552067328,3,0.5662068965517241,0.1,5.985419198055891,0.4,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.4,0.4,1,False,False,False,False,True,1e-06,True,True,0.4662068965517241,-3
0.25196641893773,-0.013916607134622536,5.575783127136348,-0.18732923071537771,0.141362403032503,0.841616602949208,0.17217905339084966,0.06938589561636899,3,0.6313793103448275,0.1,8.664037854889589,0.4,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.4,0.4,1,False,False,False,False,True,1e-06,True,True,0.5313793103448275,-3
0.2557277898596494,-0.010127355083279797,6.197836573304661,-0.22839905570456326,0.15908946210023026,0.8564356435643564,0.15348497875892778,0.06326018462416574,3,0.696551724137931,0.1,13.617977528089884,0.4,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.4,0.4,1,False,False,False,False,True,1e-06,True,True,0.596551724137931,-3
0.2600401738436743,-0.006415309057124815,6.81796012705407,-0.272290037839879,0.17592544253054204,0.8687188773200543,0.13855476486525903,0.057837414051949476,3,0.7617241379310344,0.1,25.886718749999986,0.4,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.4,0.4,1,False,False,False,False,True,1e-06,True,True,0.6617241379310345,-3
0.26473096796336426,-0.00288968564906326,7.426792855535325,-0.3189894785159354,0.19193806647773287,0.8790658882402002,0.12650312506810243,0.05305214244392928,3,0.8268965517241379,0.1,107.37313432835828,0.4,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.4,0.4,1,False,False,False,False,True,1e-06,True,True,0.7268965517241379,-3
