efficiency,dark count rate,jitter,entropy production,entropy rate,machine_efficiency,d_l,e_max,e_s,TH,TC,g_sl,g_ml,e_C,e_C_factor,t_f,t_steps,rateM,rateD,rateB,Tb,Td,k,Tb_indep_flag,Td_indep_flag,Td_eq_Tb_flag,e_l,TV
0.008292811750642615,0.0005875845156630955,18.378206142889063,3.0249489278690507,0.17280514985031312,0.7142857142857143,3,1,0.1,1.4,0.2,1,5.773993559003743,0.27,0.3,1,10,1,0.1,0.8,0.2,0.2,1,False,False,False,0.9,-1
0.1679913738047522,0.011024620567738185,18.590695765285307,2.6434698138918495,0.13207795360302124,0.7142857142857143,3,1,0.1,1.4,0.2,1,5.773993559003743,0.27,0.3,1,10,1,0.5061224489795918,0.8,0.2,0.2,1,False,False,False,0.9,-1
0.36989723949643755,0.02199783178050794,19.197644150282013,2.1905146476983415,0.08903425692137173,0.7142857142857143,3,1,0.1,1.4,0.2,1,5.773993559003743,0.27,0.3,1,10,1,0.9122448979591836,0.8,0.2,0.2,1,False,False,False,0.9,-1
0.5148293305500811,0.02856994585999692,20.32169220900104,1.8776422736214498,0.06310362719048705,0.7142857142857143,3,1,0.1,1.4,0.2,1,5.773993559003743,0.27,0.3,1,10,1,1.3183673469387756,0.8,0.2,0.2,1,False,False,False,0.9,-1
0.6057226561071863,0.03223702785808314,21.960312396893066,1.6826918748320632,0.048576749170030756,0.7142857142857143,3,1,0.1,1.4,0.2,1,5.773993559003743,0.27,0.3,1,10,1,1.7244897959183674,0.8,0.2,0.2,1,False,False,False,0.9,-1
0.6624037692052671,0.034373982501618806,24.069363354053902,1.5604086012612228,0.04009347652589198,0.7142857142857143,3,1,0.1,1.4,0.2,1,5.773993559003743,0.27,0.3,1,10,1,2.1306122448979594,0.8,0.2,0.2,1,False,False,False,0.9,-1
0.6989306015026259,0.03569708303668091,26.660691769060964,1.4809925617104813,0.03483656831245581,0.7142857142857143,3,1,0.1,1.4,0.2,1,5.773993559003743,0.27,0.3,1,10,1,2.536734693877551,0.8,0.2,0.2,1,False,False,False,0.9,-1
0.7234119913120516,0.036563041266479156,29.800999820883522,1.4273470286767336,0.031395403703342296,0.7142857142857143,3,1,0.1,1.4,0.2,1,5.773993559003743,0.27,0.3,1,10,1,2.9428571428571426,0.8,0.2,0.2,1,False,False,False,0.9,-1
0.7404213572432289,0.03715693987182408,33.56797945278158,1.389751024535559,0.02903571150229241,0.7142857142857143,3,1,0.1,1.4,0.2,1,5.773993559003743,0.27,0.3,1,10,1,3.3489795918367347,0.8,0.2,0.2,1,False,False,False,0.9,-1
0.7526132858662811,0.03758033712887938,38.01912592041965,1.3625335221340917,0.02735388577078668,0.7142857142857143,3,1,0.1,1.4,0.2,1,5.773993559003743,0.27,0.3,1,10,1,3.7551020408163267,0.8,0.2,0.2,1,False,False,False,0.9,-1
0.7615911973013811,0.03789204439754439,43.18447650094727,1.3422683812794358,0.02611602831294503,0.7142857142857143,3,1,0.1,1.4,0.2,1,5.773993559003743,0.27,0.3,1,10,1,4.161224489795918,0.8,0.2,0.2,1,False,False,False,0.9,-1
0.7683605102923411,0.03812778749311107,49.07259182620225,1.3268103664405149,0.02518003380179875,0.7142857142857143,3,1,0.1,1.4,0.2,1,5.773993559003743,0.27,0.3,1,10,1,4.5673469387755095,0.8,0.2,0.2,1,False,False,False,0.9,-1
0.7735723089076665,0.038310187841565105,55.67923019883043,1.3147704398010918,0.024455937701934025,0.7142857142857143,3,1,0.1,1.4,0.2,1,5.773993559003743,0.27,0.3,1,10,1,4.9734693877551015,0.8,0.2,0.2,1,False,False,False,0.9,-1
0.7776600888974149,0.03845409155295061,62.99411226776179,1.3052213964819557,0.02388471627731765,0.7142857142857143,3,1,0.1,1.4,0.2,1,5.773993559003743,0.27,0.3,1,10,1,5.3795918367346935,0.8,0.2,0.2,1,False,False,False,0.9,-1
0.7809196415838222,0.038569548800280525,71.0050598555957,1.2975272057634537,0.02342642704941735,0.7142857142857143,3,1,0.1,1.4,0.2,1,5.773993559003743,0.27,0.3,1,10,1,5.785714285714285,0.8,0.2,0.2,1,False,False,False,0.9,-1
0.7835573158316963,0.03866354934788721,79.7001500804303,1.2912408367443682,0.023053299820039706,0.7142857142857143,3,1,0.1,1.4,0.2,1,5.773993559003743,0.27,0.3,1,10,1,6.191836734693877,0.8,0.2,0.2,1,False,False,False,0.9,-1
0.7857200047328309,0.03874107093032548,89.06865878170606,1.2860412098275111,0.022745563977306357,0.7142857142857143,3,1,0.1,1.4,0.2,1,5.773993559003743,0.27,0.3,1,10,1,6.597959183673469,0.8,0.2,0.2,1,False,False,False,0.9,-1
0.7875142373452678,0.038805733239855984,99.1013531497509,1.2816931991831884,0.022488846393459442,0.7142857142857143,3,1,0.1,1.4,0.2,1,5.773993559003743,0.27,0.3,1,10,1,7.004081632653061,0.8,0.2,0.2,1,False,False,False,0.9,-1
0.789018599881725,0.03886021770120754,109.79047025294798,1.278021604128254,0.022272501841462785,0.7142857142857143,3,1,0.1,1.4,0.2,1,5.773993559003743,0.27,0.3,1,10,1,7.410204081632653,0.8,0.2,0.2,1,False,False,False,0.9,-1
