efficiency,dark count rate,jitter,entropy production,entropy rate,machine_efficiency,L first gap,d_l,e_max,e_s,rateB,k,Tb_indep_flag,Td_indep_flag,Td_eq_Tb_flag,Max_TV_flag,first_gap_flag,epsilon,scew_flag_TC,scew_factor_TC,TC,TV,g_ml,g_sl,rateD,e_C_factor,rateM,Tb,Td,e_l,e_C,TH
0.4799888203756133,0.0048251050424231,29.954303352375486,2.705317783187847,0.0204898361858935,0.8263521177399528,0.0325464503176433,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2.0,0.147877782306748,-15.51611524276975,1.2771834294829687,1.3759071712463438,1.041309930867334,0.2101378801266567,0.2989504971665824,0.147877782306748,0.147877782306748,0.9,0.1891240921139911,0.8920538667035203
0.5334152818403769,2.1038980206622064e-05,4512.16256314572,4.278682480270737,0.0027232352807002,0.6500330783942762,0.000181446670561,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2.0,0.0802168524409743,-5.230005512813168,0.4894145179900022,0.6619670187515847,0.9809665285026204,0.5383832503881477,1.939631829013282,0.0802168524409743,0.0802168524409743,0.9,0.4845449253493329,0.235934115162685
0.5006523502335098,0.0016847370980624,22.17855564574892,6.847951429554471,0.1019486083835765,0.8869713965684937,0.042277278248134,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2.0,0.0652384070960449,-12.185367776458325,1.7791236020969488,0.9283854639959864,0.757603920767099,0.1274320726336725,1.0816019519430038,0.0652384070960449,0.0652384070960449,0.9,0.1146888653703052,0.6024978071984688
0.6189705719811185,1.5066062157622126e-05,4177.361093765408,4.513827357702315,0.0024344074397705,0.6045818052858949,0.0002386315076601,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2.0,0.0769829466310803,-11.094248317596264,1.5144272279667874,1.3083302604768816,1.3832062449787723,0.6540358827489353,1.516456413255104,0.0769829466310803,0.0769829466310803,0.9,0.5886322944740418,0.1967751023522208
0.5104189789992126,6.333582663345837e-06,5443.124615898729,5.955764653199774,0.0014151100879328,0.6627335641928653,0.0001837180021503,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2.0,0.0690813343541356,-9.523676186055472,1.3446181448662506,1.8564201536545912,0.8143697414088019,0.5089019992791327,0.1944241841941356,0.0690813343541356,0.0690813343541356,0.9,0.4580117993512194,0.2077889061869196
0.6816746368523486,5.983381694107169e-06,5983.507038850543,4.552106379044639,0.0016917358230248,0.6374440620714132,0.0001671260636789,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2.0,0.0623462993333252,-16.148774255096992,1.6837445750155566,1.89373686202748,1.7044300491539257,0.568765103482867,1.830403771362356,0.0623462993333252,0.0623462993333252,0.9,0.5118885931345803,0.1731385096527097
0.5023436513519388,0.0001590141329419,508.71381730626206,2.586893105921097,0.0165391810974988,0.5613988392329423,0.0014542216433295,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2.0,0.1409619520024959,-10.20196790032512,1.5262994473457483,0.7388852599536193,1.445874747386189,0.7812648158773056,0.8258265151019041,0.1409619520024959,0.1409619520024959,0.9,0.7031383342895751,0.3271761336063388
0.5586296228838957,0.0003460768235083,704.4948682715471,7.022508173954222,0.0472250943004918,0.8596053138730213,0.0007648269150856,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2.0,0.0570479529216698,-13.32087297605937,1.9081316452826635,0.217967092694959,0.9412257719874992,0.1633245907873917,0.4190484613671316,0.0570479529216698,0.0570479529216698,0.9,0.1469921317086525,0.4172815342997633
0.5479597129600636,0.003220416917871,172.5255818644431,2.0368555858815256,0.0441717497753217,0.6718229644524897,0.0033451521249692,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2.0,0.1666003849457398,-15.946702787893036,1.0290484406800122,0.435910319958673,1.936756533572722,0.4884873737755631,0.6347118403242258,0.1666003849457398,0.1666003849457398,0.9,0.4396386363980069,0.518748523342084
0.5804175697836529,0.0002900008047018,411.2211223547631,2.260450285791583,0.016468874562295,0.5961758830621825,0.0024317661424768,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2.0,0.1081183120204547,-1.298178636909782,1.0323236884945144,1.6797275052151857,1.6365120033173903,0.6773573510951593,1.2283746012477057,0.1081183120204547,0.1081183120204547,0.9,0.6096216159856434,0.3052707781180966
0.584644183310909,0.0005223435468168,316.7047073989401,2.8908220949024384,0.0238152038186487,0.5918199900659565,0.0026217496454343,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2.0,0.119571534872317,-5.0122725342505525,1.8417433146452296,0.9650444497684206,1.6542388429682977,0.6897029785840003,1.95922063167942,0.119571534872317,0.119571534872317,0.9,0.6207326807256003,0.3034335367390622
0.413804471876657,0.0048005622570766,21.97548086166325,1.431502396482272,0.1008469766912865,0.5843428428969731,0.0437531437734917,3,1,0.1,0.7,1,False,False,False,False,True,1e-06,True,2.0,0.2489907047063207,-11.65514810371879,1.6208745770257482,1.2931816850763935,1.504707509784079,0.7113241176059248,1.615909841735138,0.2489907047063207,0.2489907047063207,0.9,0.6401917058453324,0.6175766738791081
