efficiency,dark count rate,jitter,entropy production,entropy rate,machine_efficiency,d_l,e_max,e_s,TH,TC,g_sl,g_ml,e_C,e_C_factor,t_f,t_steps,rateM,rateD,rateB,Tb,Td,k,Tb_indep_flag,Td_indep_flag,Td_eq_Tb_flag,Max_TV_flag,epsilon,e_l,TV
0.23809523809523786,-4.214365767538677e-17,7.096472019005972,134.04144067739762,12.679808180893426,0.7692307692307692,3,1,0.1,216666.68808260284,0.005,1,2,0.27,0.3,3000,3000,1,0.5,0.8,0.005,0.005,1,False,False,False,True,1e-07,0.9,-0.016666668333333336
0.26032039433148496,2.0622179321769122e-17,7.016000131998789,130.5984785226362,12.679808180893456,0.7692307692307692,3,1,0.1,216666.68808260284,0.005,1,2,0.27,0.3,3000,3000,1,0.5306122448979592,0.8,0.005,0.005,1,False,False,False,True,1e-07,0.9,-0.016666668333333336
0.28249378980594336,-4.8484000422692785e-20,6.937396499154672,127.16258704243555,12.67980818089345,0.7692307692307692,3,1,0.1,216666.68808260284,0.005,1,2,0.27,0.3,3000,3000,1,0.5612244897959183,0.8,0.005,0.005,1,False,False,False,True,1e-07,0.9,-0.016666668333333336
0.3045115504381194,-2.940969916634943e-17,6.861154684351095,123.74981082808034,12.679808180893428,0.7692307692307692,3,1,0.1,216666.68808260284,0.005,1,2,0.27,0.3,3000,3000,1,0.5918367346938775,0.8,0.005,0.005,1,False,False,False,True,1e-07,0.9,-0.016666668333333336
0.3262832991354062,-4.5697761603671746e-17,6.787701663046837,120.3741169558462,12.67980818089344,0.7692307692307692,3,1,0.1,216666.68808260284,0.005,1,2,0.27,0.3,3000,3000,1,0.6224489795918368,0.8,0.005,0.005,1,False,False,False,True,1e-07,0.9,-0.016666668333333336
0.3477315946753598,3.429456043486758e-17,6.7174008147365125,117.04748111296264,12.679808180893456,0.7692307692307692,3,1,0.1,216666.68808260284,0.005,1,2,0.27,0.3,3000,3000,1,0.653061224489796,0.8,0.005,0.005,1,False,False,False,True,1e-07,0.9,-0.016666668333333336
0.3687911799017437,-1.2888682960425865e-16,6.650555846984691,113.78000309591005,12.679808180893406,0.7692307692307692,3,1,0.1,216666.68808260284,0.005,1,2,0.27,0.3,3000,3000,1,0.6836734693877551,0.8,0.005,0.005,1,False,False,False,True,1e-07,0.9,-0.016666668333333336
0.3894080996884726,2.5804572948022915e-17,6.5874153478125725,110.5800423751071,12.679808180893465,0.7692307692307692,3,1,0.1,216666.68808260284,0.005,1,2,0.27,0.3,3000,3000,1,0.7142857142857143,0.8,0.005,0.005,1,False,False,False,True,1e-07,0.9,-0.016666668333333336
0.4095387405665448,7.372076268795472e-17,6.5281777063523645,107.45436573739329,12.67980818089347,0.7692307692307692,3,1,0.1,216666.68808260284,0.005,1,2,0.27,0.3,3000,3000,1,0.7448979591836735,0.8,0.005,0.005,1,False,False,False,True,1e-07,0.9,-0.016666668333333336
0.4291488349976232,-5.137466626704877e-17,6.472996186601955,104.40830038936284,12.679808180893437,0.7692307692307692,3,1,0.1,216666.68808260284,0.005,1,2,0.27,0.3,3000,3000,1,0.7755102040816326,0.8,0.005,0.005,1,False,False,False,True,1e-07,0.9,-0.016666668333333336
