efficiency,dark count rate,jitter,entropy production,entropy rate,machine_efficiency,L first gap,d_l,e_max,e_s,TH,TC,g_sl,g_ml,e_C,e_C_factor,t_f,t_steps,rateM,rateD,rateB,Tb,Td,k,Tb_indep_flag,Td_indep_flag,Td_eq_Tb_flag,Max_TV_flag,epsilon,e_l,TV
0.012345678966819578,4.793282635944694e-12,10.322622205383292,24.369458196306446,16.88271675754799,0.5010406921040025,,3,1,0.1,200417.16522968427,0.01,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.01,0.01,1,False,False,False,True,1e-07,0.9,-0.010041715512249902
0.01234567865909458,3.719258850347798e-11,10.322617390777651,21.872937206479513,15.153178003487957,0.5010406921040024,,3,1,0.1,223292.27048587645,0.011141374574404603,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.011141374574404603,0.011141374574404603,1,False,False,False,True,1e-07,0.9,-0.011187851389158536
0.012345676790334482,2.3394947940453906e-10,10.322612487300129,19.632173684870484,13.600819625499081,0.5010406921040024,,3,1,0.1,248778.28291504926,0.012413022740718939,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.012413022740718939,0.012413022740718939,1,False,False,False,True,1e-07,0.9,-0.012464804300938817
0.012345667435363755,1.2189015403010373e-09,10.32260527991202,17.620973695661142,12.207488947621957,0.5010406921040024,,3,1,0.1,277173.20313036785,0.013829813595495212,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.013829813595495212,0.013829813595495212,1,False,False,False,True,1e-07,0.9,-0.013887505371340888
0.012345628078852262,5.3626285277654055e-09,10.322587494681159,15.8158433601217,10.956888863594578,0.5010406921040024,,3,1,0.1,308809.04799522745,0.015408313356160552,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.015408313356160552,0.015408313356160552,1,False,False,False,True,1e-07,0.9,-0.015472589924616477
0.012345486483942398,2.0270842613265803e-08,10.322532688348916,14.195738793969166,9.834381314228043,0.5010406921040024,,3,1,0.1,344055.7277597,0.017166979066078603,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.017166979066078603,0.017166979066078603,1,False,False,False,True,1e-07,0.9,-0.017238591998631085
0.01234504395062617,6.686536868732873e-08,10.322368196448236,12.741866183091258,8.826804946185659,0.5010406921040024,,3,1,0.1,383325.3733343743,0.01912637440861442,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.01912637440861442,0.01912637440861442,1,False,False,False,True,1e-07,0.9,-0.0192061610592083
0.01234382542268702,1.9517384296968063e-07,10.321920334585789,11.43753146548134,7.922304362847216,0.5010406921040024,,3,1,0.1,427077.15706122963,0.021309410153667968,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.021309410153667968,0.021309410153667968,1,False,False,False,True,1e-07,0.9,-0.02139830344969832
0.012340831731397411,5.104601675007537e-07,10.320823779068538,10.268025579620065,7.11017186647551,0.5010406921040024,,3,1,0.1,475822.657564812,0.02374161204816357,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.02374161204816357,0.02374161204816357,1,False,False,False,True,1e-07,0.9,-0.02384065139898633
0.012334194907598996,1.2097179401599142e-06,10.318395302860742,9.220512835664996,6.380707106317528,0.5010406921040024,,3,1,0.1,530131.8466990698,0.026451419282878755,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.026451419282878755,0.026451419282878755,1,False,False,False,True,1e-07,0.9,-0.02656176273339098
0.012320784695148846,2.6238346284410386e-06,10.3134889466844,8.283876093216524,5.725103208289072,0.5010406921040024,,3,1,0.1,590639.7474479738,0.029470517025518096,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.029470517025518096,0.029470517025518096,1,False,False,False,True,1e-07,0.9,-0.029593454796916992
0.012295870881458013,5.255332417322679e-06,10.30436960756606,7.448473722811721,5.135367234747971,0.5010406921040024,,3,1,0.1,658053.8655182146,0.03283420690826654,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.03283420690826654,0.03283420690826654,1,False,False,False,True,1e-07,0.9,-0.03297117648431631
0.012252988818999342,9.797920487927132e-06,10.28865653430476,6.705785369302973,4.604277316519716,0.5010406921040024,,3,1,0.1,733162.460960489,0.03658181980185008,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.03658181980185008,0.03658181980185008,1,False,False,False,True,1e-07,0.9,-0.03673442273705686
0.012184159080700753,1.7124429734880433e-05,10.263388602565275,6.047963714583704,4.125370095495544,0.5010406921040024,,3,1,0.1,816843.7615024893,0.04075717570257835,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.04075717570257835,0.04075717570257835,1,False,False,False,True,1e-07,0.9,-0.04092719634880758
0.012080558496223246,2.8235002482753694e-05,10.22524423641128,5.467357496224073,3.692943539816421,0.5010406921040024,,3,1,0.1,910076.2302131369,0.045409096109724746,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.045409096109724746,0.045409096109724746,1,False,False,False,True,1e-07,0.9,-0.04559852248022697
0.011933627316344626,4.416675211067742e-05,10.170911425386775,4.956110572488125,3.3020552158935206,0.5010406921040024,,3,1,0.1,1013950.0169136256,0.05059197488435822,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.05059197488435822,0.05059197488435822,1,False,False,False,True,1e-07,0.9,-0.05080302189916175
0.011736449037014403,6.587688948155114e-05,10.097556143028811,4.505952677772182,2.9484969307509497,0.5010406921040024,,3,1,0.1,1129679.6942493417,0.056366414264550524,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.056366414264550524,0.056366414264550524,1,False,False,False,True,1e-07,0.9,-0.05660154964902412
0.011485105660031485,9.412003918426912e-05,10.003296472547094,4.1082631595147125,2.628733495526745,0.5010406921040024,,3,1,0.1,1258618.4639040076,0.06279993347374203,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.06279993347374203,0.06279993347374203,1,False,False,False,True,1e-07,0.9,-0.06306190661315372
0.011179655929829134,0.00012934389813994723,9.887573548699486,3.7544098557911476,2.339804273718792,0.5010406921040024,,3,1,0.1,1402273.9738430681,0.06996775820786501,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.06996775820786501,0.06996775820786501,1,False,False,False,True,1e-07,0.9,-0.07025963229532685
0.010824452526356507,0.00017162382344573085,9.75133150555247,3.436268532315261,2.079197614885205,0.5010406921040024,,3,1,0.1,1562325.959382379,0.0779537002325196,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.0779537002325196,0.0779537002325196,1,False,False,False,True,1e-07,0.9,-0.0782788880862171
0.01042769680335489,0.00022064716335716813,9.596973626840292,3.146759831155116,1.8447163515792924,0.5010406921040024,,3,1,0.1,1740645.8717649,0.08685113737513525,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.08685113737513525,0.08685113737513525,1,False,False,False,True,1e-07,0.9,-0.0872134413436443
0.010000354797240157,0.00027574540243668156,9.428129236223981,2.8802377278332054,1.6343547307914055,0.5010406921040024,,3,1,0.1,1939318.7668243877,0.09676410537094532,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.09676410537094532,0.09676410537094532,1,False,False,False,True,1e-07,0.9,-0.09716776179324058
0.009554728720019294,0.00033596091853820703,9.249315408316278,2.632627839848124,1.4462033980808409,0.5010406921040024,,3,1,0.1,2160667.6808306174,0.10780851432948585,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.10780851432948585,0.10780851432948585,1,False,False,False,True,1e-07,0.9,-0.1082582430695014
0.009103028876765056,0.0004001290918630175,9.065587597507632,2.4013100153714455,1.2783914608641127,0.5010406921040024,,3,1,0.1,2407280.7937350464,0.12011350404548678,2,1,0.8962612901172999,0.995845877908111,1,10,1,0.1,0.8,0.12011350404548678,0.12011350404548678,1,False,False,False,True,1e-07,0.9,-0.1206145636804256
