efficiency,dark count rate,jitter,entropy production,entropy rate,machine_efficiency,L first gap,ss noise,d_l,e_max,e_s,TH,TC,g_sl,g_ml,e_C,e_C_factor,t_f,t_steps,rateM,rateD,rateB,Tb,Td,k,Tb_indep_flag,Td_indep_flag,Td_eq_Tb_flag,Max_TV_flag,first_gap_flag,epsilon,noise_flag,e_C_independent_flag,e_l,TV
0.5331607605588219,5.897021464675879e-07,485.5969967634146,-12.544463735352823,0.10469145384789985,0.8687188773200543,0.002059315542720701,5.896964233495606e-07,3,0.7617241379310344,0.1,0.2015449651774581,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,0.6617241379310345,-3
0.5331607583058731,3.9027358749798745e-07,734.7142105607572,-13.96204458803998,0.07611043018482286,0.8790658882402002,0.0013610719155502924,3.9027010816675446e-07,3,0.8268965517241379,0.1,0.22005383580080753,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,0.7268965517241379,-3
0.5331607575576469,2.579733244505576e-07,1112.4904480512548,-15.379797587800931,0.054820240594682,0.8879010436799382,0.00089888368111105,2.579711732438723e-07,3,0.8920689655172412,0.1,0.23877795895763465,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,0.7920689655172413,-3
0.5331607574865136,1.7038394391637803e-07,1685.3731702164905,-16.797746548843165,0.039186416945215866,0.8955331412103746,0.0005933402782067711,1.703825878574278e-07,3,0.9572413793103447,0.1,0.25772111159249855,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,0.8572413793103447,-3
0.5331607576314429,1.1247339426437074e-07,2554.127326951318,-18.215880019715314,0.027834273111306238,0.9021922428330523,0.0003915231225975939,1.1247252773350917e-07,3,1.0224137931034483,0.1,0.2768871595330739,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,0.9224137931034483,-3
0.5331607578571707,7.421934671224041e-08,3871.5590102374194,-19.634171758409888,0.01966513365678789,0.9080532656943564,0.00025829386989494713,7.421878697885895e-08,3,1.0875862068965516,0.1,0.29628006012024044,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,0.9875862068965516,-3
0.5331607580740406,4.896467602911466e-08,5869.392679713318,-21.05259189736468,0.013829830488688435,0.9132515704457075,0.00017037537558983975,4.89643122193072e-08,3,1.1527586206896552,0.1,0.3159038649321196,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,1.052758620689655,-3
0.5331607582287491,3.22984446718212e-08,8899.029424085857,-22.471112388158193,0.009687286367237835,0.9178935447338619,0.00011237180423161159,3.2298207342356085e-08,3,1.2179310344827585,0.1,0.33576272260599527,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,1.1179310344827584,-3
0.533160758360242,2.1302770076513904e-08,13493.355272461935,-23.88970921389395,0.006761836170882237,0.9220639613007255,7.411055118908311e-05,2.1302614414889167e-08,3,1.283103448275862,0.1,0.35586088176224934,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,1.183103448275862,-3
0.5331607584325713,1.4049516856206047e-08,20460.471084093442,-25.30836290759769,0.004705199896658364,0.9258312020460359,4.8874729935631734e-05,1.4049414823482914e-08,3,1.3482758620689654,0.1,0.3762026940346376,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,1.2482758620689653,-3
0.5331607584843524,9.265469824513957e-09,31025.830268674068,-26.727058260484963,0.0032650270614379188,0.9292510368382533,3.223120833855072e-05,9.265402821207215e-09,3,1.413448275862069,0.1,0.3967926172114485,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,1.313448275862069,-3
0.5331607585441855,6.110275319810243e-09,47047.785090524485,-28.145783706653948,0.0022600194993675194,0.9323694029850746,2.1254985710766144e-05,6.110231113063179e-09,3,1.4786206896551723,0.1,0.41763521849230567,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,1.3786206896551723,-3
0.5331607585662154,4.0294499967977344e-09,71344.45422125126,-29.564530633460755,0.0015608369842105164,0.9352244806790261,1.4016506413663656e-05,4.029420975242962e-09,3,1.543793103448276,0.1,0.4387351778656126,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,1.4437931034482758,-3
0.5331607585204262,2.657206419542995e-09,108189.40463129587,-30.983292737260193,0.0010757504816670913,0.9378482640377197,9.243049286142551e-06,2.657187467262179e-09,3,1.6089655172413793,0.1,0.4600972916118853,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,1.5089655172413792,-3
0.5331607593552004,1.7522707222138959e-09,164063.33383368148,-32.40206540578087,0.0007400328693873075,0.9402677651905252,6.095207116932425e-06,1.7522583643941894e-09,3,1.6741379310344826,0.1,0.4817264759384818,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,1.5741379310344825,-3
0.5331607588855982,1.1555118412266933e-09,248793.96668483687,-33.820845562100295,0.0005082097373307772,0.9425059476605868,4.019390074528158e-06,1.15550349055784e-09,3,1.7393103448275862,0.1,0.5036277707515143,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,1.639310344827586,-3
0.5331607601458659,7.619850879384612e-10,377284.66422957566,-35.239630689195714,0.00034845475515184274,0.9445824574813683,2.650518551529474e-06,7.619796754221358e-10,3,1.8044827586206895,0.1,0.5258063435710219,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,1.7044827586206894,-3
0.533160760011742,5.024776210321669e-10,572135.7921152259,-36.658419431966124,0.00023856864161084904,0.9465142014016968,1.74783682047817e-06,5.024737935855764e-10,3,1.869655172413793,0.1,0.5482674935957934,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,1.769655172413793,-3
0.5331495753743749,3.3135018041706185e-10,867620.2960013339,-38.07785915625423,0.00016311360846315778,0.9483158082338264,1.152578422496023e-06,3.313478080027295e-10,3,1.9348275862068964,0.1,0.5710166559245564,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,1.8348275862068963,-3
0.5331607661799133,2.1850296154719817e-10,1315710.0719754437,-39.49600312828731,0.00011138284300371715,0.95,7.600458687423747e-07,2.1850143934761475e-10,3,2.0,0.1,0.594059405940594,0.025,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.025,0.025,1,False,False,False,False,True,1e-06,True,True,1.9,-3
