A,B,EV
(-8.022283836306432e-05+3.8388661165493473e-17j),(-0.015232033373800663-4.354779625068129e-16j),(-3.125887275944979-3.063981990673899e-16j)
(-1.1699894027492078e-16+1.4863515153883885e-16j),(-9.090131625787066e-16+1.291644532821437e-15j),(-2.8364228922590655-0.9936055158123576j)
(3.499383313227367e-17-8.076658643328525e-17j),(5.06852047345985e-16-1.0486725936208977e-16j),(-2.8364228922590535+0.993605515812368j)
(7.997610893916198e-18-1.175157776110228e-16j),(-2.327285558046372e-17-3.1354726219873613e-16j),(-2.825093330541678-0.7598263159286356j)
(7.040641868456551e-17+8.468457864603524e-17j),(7.652192527277007e-16-1.3173310227326092e-16j),(-2.8250933305416583+0.7598263159286207j)
(-7.166223101948753e-17-1.877475839959495e-17j),(-5.682398539798604e-16+1.3357759358354602e-15j),(-2.8248915963397225-0.26960637386968317j)
(-8.537637354407357e-17-5.395225317741065e-17j),(2.7539093863994863e-16-1.462094155534701e-17j),(-2.8248915963396968+0.26960637386967923j)
(-5.5967045858581115e-18+3.7926749212159265e-17j),(6.506089385337721e-16+8.007323522409689e-17j),(-2.8024173894804623-1.1709229642736865j)
(-2.937600543559761e-17-2.3636395530991263e-17j),(-1.3737781870456082e-16-3.8848855180261303e-16j),(-2.802417389480441+1.1709229642736854j)
(0.0005810713334517929+2.1446357655112067e-17j),(-0.0021603885207977375+1.8426969293902944e-15j),(-2.5938614709434225+4.459540272982341e-15j)
(-7.388383953563412e-18+2.3032653284324035e-17j),(1.4946221880468498e-16-5.435010295959423e-16j),(-2.564327351030044+1.2761592049411732j)
(-4.1794622302838617e-17+5.238886959248533e-17j),(1.5021018265730574e-16+8.490952251034544e-16j),(-2.5643273510300397-1.2761592049411654j)
(-1.1825375910790233e-17-2.0293502315129375e-17j),(7.524052949279189e-17-4.570310553508325e-16j),(-2.562111073828693+1.4400000000000046j)
(-1.8927144232599784e-17+1.7062145381285018e-16j),(3.4336139774878195e-16-4.417205397464161e-16j),(-2.562111073828671-1.4399999999999904j)
(0.0001398397952508939+8.697798313434421e-17j),(6.106226635438361e-16-1.6833778492661966e-16j),(-2.562111073828666+9.910984586140544e-16j)
(7.032632383128452e-17-1.6619738197157664e-16j),(-1.469345395472155e-15-1.3166583094295048e-16j),(-2.5544130706935873-0.150345178718845j)
(-1.2597363991482557e-17+3.015306300968153e-17j),(-4.916591074901495e-16+2.2461567967793755e-16j),(-2.554413070693581+0.15034517871884573j)
(0.00022273223459249192+2.2077721956340318e-05j),(0.016661271077725463-0.0016515028054511034j),(-2.553092552799173+4.100766751982357e-15j)
(1.2551691354635092e-17-3.60686292633342e-17j),(-1.1156689337325504e-15-9.292275027458337e-16j),(-2.5520178691433153-0.5067858656989412j)
(7.824734515684325e-17-5.905498970739462e-17j),(-1.0316601480238108e-15-8.606040323606051e-16j),(-2.5520178691433+0.506785865698936j)
(4.400375693995714e-17+1.1794518593996744e-16j),(-8.9398828604236e-17-3.3581392091508685e-17j),(-2.5479309067216245+0.21516598140706555j)
(-1.6240700034317043e-17+6.458780851444429e-18j),(-1.2855267828684098e-16+1.0498584970263509e-15j),(-2.547930906721617-0.21516598140706394j)
(-2.045761279091528e-18-8.033943523216048e-17j),(4.345766510517898e-16-2.3682365602202305e-16j),(-2.542949225705066+1.9596591698139367j)
(-9.372183249445458e-17-1.5931289361781764e-16j),(5.77940888527846e-16-1.1418387053356716e-15j),(-2.5429492257050637-1.9596591698139272j)
(5.556987444478173e-17+3.957795693153838e-18j),(7.307928072657349e-16-1.4525329218796027e-16j),(-2.519613183689394+0.7295622952001406j)
(6.8536122262542846e-18-1.3430727935573452e-17j),(-1.218834702548939e-15-1.3320574575973007e-15j),(-2.519613183689389-0.7295622952001278j)
(-7.864998731028841e-17-4.6145535004624745e-17j),(-7.513777971286364e-16+1.0055644224171526e-17j),(-2.502079867854677+1.0314327383405637j)
(1.352593727334375e-17+4.7995047786128905e-17j),(9.044550127171046e-16-3.8318023060928175e-16j),(-2.502079867854669-1.031432738340558j)
(-0.0012057743453842418-0.0005712158659526042j),(0.056682371427526745-0.012380691278865513j),(-2.5006231753913584-1.7395402488139804j)
(-0.001205774345384201+0.0005712158659527491j),(0.05668237142752827+0.01238069127886731j),(-2.500623175391357+1.7395402488139924j)
(7.350629802303043e-17+1.420398562481925e-16j),(1.5516039934002393e-15+4.391427674323005e-16j),(-2.4550254446565467+0.9053745724443603j)
(-6.624199314343356e-17+5.4922031853879764e-17j),(9.535422276517466e-16-1.5468585425430587e-16j),(-2.455025444656525-0.9053745724443505j)
(9.915083957160153e-17+1.9630293732326626e-17j),(-9.512259041750335e-16+5.19934400417047e-16j),(-2.453483438155698-2.1861648571028653j)
(5.3024814029634384e-17+3.2601497348383847e-17j),(1.9136264848953577e-15+4.2265624460778825e-16j),(-2.453483438155667+2.186164857102834j)
(1.5346838333613556e-17+1.4537750799633562e-17j),(-3.71993329187971e-17-3.0758760824359343e-16j),(-2.4294156325893836+0.39058843044350205j)
(6.929426427601027e-17+5.724051735910759e-17j),(3.51212546216966e-15-1.799244176648435e-15j),(-2.4294156325893774-0.39058843044350194j)
(0.001938255699257277-8.55246087256119e-17j),(-0.18030701376589384+3.1197933227086048e-16j),(-2.392130839892188-1.2083843829905832e-14j)
(-1.1357878274755758e-16+1.1944625570713719e-17j),(2.0041146839243654e-16+6.661831677843857e-16j),(-2.294679887620827-0.9911732774011666j)
(4.029609272116766e-17-1.3230320584056821e-16j),(-6.513299157254555e-16-2.574561580515289e-15j),(-2.2946798876208123+0.991173277401158j)
(-5.849905759608289e-18-4.0039217094989085e-17j),(-8.683206263712345e-16+1.0079065522337917e-15j),(-2.2946206414832355-0.9599179311627369j)
(6.748852191837577e-17-4.957681355998966e-17j),(3.4507960731006167e-16-4.173378740153228e-16j),(-2.2946206414832044+0.9599179311627251j)
(7.208007497454493e-18+2.0091578684573632e-17j),(1.7721491061332898e-16+5.073610278643295e-16j),(-2.2945049476603026+2.4324017726125193j)
(-9.687230682007563e-18-2.183577723857918e-18j),(6.003940017224061e-16+3.188486213876184e-16j),(-2.294504947660288+0.4475982273874826j)
(1.350300422537627e-16+5.086508743383493e-17j),(1.0429805425168102e-15-1.3581281669350107e-15j),(-2.2945049476602772-2.4324017726125025j)
(2.171544585582755e-17+2.2644757373551328e-17j),(1.0209692853265938e-15-5.597538180736018e-16j),(-2.2945049476602657-0.44759822738748606j)
(-6.392096666807292e-17+8.321675588472069e-18j),(-2.4449567776799064e-15+4.166569095386792e-15j),(-2.2924022482322437-0.4988294259259283j)
(3.142729102493441e-17+8.06110533516858e-18j),(-1.365036362107595e-15+2.641896260484675e-15j),(-2.292402248232236+0.49882942592591717j)
(8.359779634866553e-17+4.8849487297503456e-17j),(-2.3390621125271295e-15+1.7876084605363455e-15j),(-2.289523702497224-0.2594802416654943j)
(-3.498930107852092e-17-4.25522589242618e-18j),(1.5719820403975437e-15-9.573319199864396e-16j),(-2.289523702497218+0.25948024166549555j)
