A,B,EV
(2.4221758534035548e-05-1.8811542195249705e-17j),(-0.000689302198058725+9.09868955408314e-18j),(-3.7528461423739286+6.086933342482276e-15j)
(4.19156629077421e-17+1.912155692802014e-17j),(4.1892638404068957e-16+4.973777740739964e-16j),(-3.517098609797628+0.7543754659055278j)
(-1.154670393229912e-16+2.893814330184946e-17j),(4.1119462803033096e-16+2.613691026463697e-16j),(-3.517098609797614-0.7543754659055252j)
(-4.1225387666062565e-17+2.3476846037875268e-17j),(1.0647020662484961e-16+2.8829831979241863e-16j),(-3.489573237382848-0.4823032137108008j)
(-4.816913207470413e-17+8.912872237455828e-18j),(-2.82374721590029e-16-7.654423687098249e-17j),(-3.4895732373828436+0.48230321371080037j)
(1.2084226031158832e-16+7.84969623124037e-18j),(-3.020737383052349e-16-3.0855375749114116e-16j),(-3.275794879175639-0.26389342262904886j)
(-1.1129834669757811e-16-3.2377426333640675e-18j),(8.630970845183761e-16-1.2456540196765273e-15j),(-3.2757948791756237+0.2638934226290404j)
(-1.1627808573514965e-16-4.275226849118831e-18j),(-1.0042772694504555e-16-1.6501221959094297e-17j),(-3.262529576695072+0.26941881750509256j)
(8.288955225339903e-18-8.610303434465832e-18j),(-7.122241900483809e-16+1.8268945565484065e-16j),(-3.2625295766950413-0.26941881750509045j)
(-1.9311299129862528e-05+5.356220228176171e-06j),(0.0010858443325748829+0.00030117193771880227j),(-3.26099150707618-3.1439683728208163e-15j)
(3.0130335406362433e-17+6.307241564824213e-17j),(4.323480068115165e-17-3.3171826202830665e-16j),(-3.257405658127611-1.1710225770786387j)
(-8.59899902591621e-18-1.081723605859191e-17j),(-3.112572867897388e-17-7.192301275393595e-17j),(-3.257405658127601+1.171022577078633j)
(-8.451660184302003e-05+2.7254300896632257e-05j),(0.001194917940200782-0.0005497120690131224j),(-3.21981961711428+1.1489095845313742j)
(-8.45166018431473e-05-2.7254300896458784e-05j),(0.0011949179402006155+0.0005497120690129281j),(-3.2198196171142786-1.1489095845313821j)
(-5.7468379019296606e-05-9.361093702404303e-17j),(0.002128468703200964+2.878153257573647e-16j),(-3.1189005757316925+1.1941902688531602e-14j)
(8.70650849230973e-18+9.007060166949359e-17j),(-3.517897301557728e-16+3.486111793794143e-16j),(-3.0290461512001374+1.0238038464615067j)
(5.0573770115741783e-17+1.2440502252807083e-17j),(-3.094300746064712e-16+8.579951389426838e-16j),(-3.029046151200132-1.0238038464614982j)
(-6.570476813919329e-17-2.7858709302891373e-17j),(-2.367772841189017e-16-2.6585769947065103e-16j),(-3.0275682534637696-0.4131517776518799j)
(3.911716161605864e-17+3.3181665939912e-17j),(5.2329614827095e-16+1.6030635444988415e-16j),(-3.0275682534637394+0.4131517776518676j)
(4.373058770945688e-18-1.2991890075918272e-17j),(4.797944210862846e-16+9.222570636069344e-17j),(-3.0224565503511176-0.4846373519835203j)
(-1.1454904278080639e-16+7.756928067273245e-17j),(1.0794519227970419e-15+1.4277393348133767e-15j),(-3.0224565503510887+0.4846373519835104j)
(-7.234835554810344e-18-2.2054272946399645e-17j),(-8.610004670882995e-17-2.4574490829422046e-16j),(-3.0143698084194455+1.9255531247735278j)
(-1.0037360824642098e-17+3.306491254496239e-17j),(-8.012619325390044e-17+4.647755664909735e-16j),(-3.014369808419411-1.9255531247735214j)
(-6.535486594854853e-17-2.0650093915194588e-17j),(-4.0089879761720943e-16-6.518050512268807e-16j),(-3.0067658598957316+0.660452467998899j)
(-3.467485465564793e-17+4.000946071144965e-17j),(1.7147127234084403e-16-9.433939541509534e-17j),(-3.006765859895689-0.6604524679988965j)
(-6.604678557111191e-17+6.551689535791186e-17j),(-6.878214943323917e-17-1.0511948491892207e-16j),(-3.0064125280769436-0.2169750931756224j)
(1.3511330376138861e-17+3.731146335308103e-17j),(-2.6486291581271724e-17+5.708455440521544e-16j),(-3.0064125280769347+0.21697509317561897j)
(1.1993314981373121e-16+2.9541806537582284e-17j),(-8.467117170078001e-18+6.0874621423456e-16j),(-3.0050414621241237-1.6598298388954522j)
(1.3875435915275253e-17-9.009431281216801e-17j),(2.2157298559512635e-16-2.767560070606401e-16j),(-3.005041462124098+1.659829838895433j)
(-2.848817098501953e-17-5.107507113582356e-18j),(6.147031362153845e-16+9.773273630777597e-16j),(-2.9915439221730047+0.7476392405615264j)
(-1.840512551080716e-18-4.1240779224791726e-17j),(-1.5374096370309362e-16+7.79167008101331e-16j),(-2.991543922172967-0.74763924056151j)
(8.60826783797896e-17+2.861444110563758e-17j),(8.801723348714426e-16+5.260010282723035e-16j),(-2.9815608873673907-0.6946605695880211j)
(-4.8628062587979954e-17+1.0623810224734784e-17j),(-5.14515921626875e-16-4.71968215278599e-16j),(-2.981560887367377+0.6946605695880322j)
(-5.083739487849142e-17+3.8708610391503904e-17j),(5.70137327299914e-16+4.2298306857594234e-16j),(-2.861184475826621-0.4161358384844479j)
(-3.6354158233319993e-17-8.541464204231272e-17j),(4.2254672200028367e-16+3.9430795344938174e-16j),(-2.861184475826593+0.4161358384844434j)
(-1.2202838432618236e-17+8.758131855524962e-19j),(4.698892834084635e-16-2.952683713779378e-16j),(-2.796090164408822+0.5278985029583261j)
(-1.0405595481060369e-17+2.2375071023780912e-17j),(2.899480265313217e-16+4.149654074572068e-17j),(-2.7960901644088154-0.5278985029583219j)
(1.0916745191773353e-16-2.101972940841846e-17j),(7.741126995738111e-16-1.867776871779342e-16j),(-2.7945015606918973-0.9109847238265082j)
(-9.138089848394419e-17-2.069982286208022e-17j),(9.981067223313306e-17+2.027039085941486e-16j),(-2.794501560691879+0.9109847238265071j)
(-2.5084517676987518e-18+4.491809261653924e-17j),(2.8477864005647447e-16+4.180732300649718e-16j),(-2.7823020673294945-1.439999999999996j)
(3.1169683946605947e-17-1.7010386444383064e-17j),(2.951657302358569e-16+1.150702718319949e-16j),(-2.7823020673294874+1.440000000000004j)
(2.77749800711366e-06+2.989788958313513e-16j),(3.608224830031759e-16-7.451748080985545e-16j),(-2.7823020673294785+2.1813529376356854e-15j)
(-1.4647464547909598e-17-5.439973354028853e-18j),(2.4999810205764513e-16-7.376523109894367e-17j),(-2.7771527686589748+0.002200575849428149j)
(2.3901064707687502e-17+1.6123880274942328e-18j),(2.382062288389453e-16+5.320517219801499e-16j),(-2.77715276865893-0.0022005758494272254j)
(2.5017953996936972e-17-1.66430074553959e-17j),(3.1071712552441217e-16-3.46219460067347e-16j),(-2.772476480493847-0.2662761384158527j)
(1.3868482359357468e-17+5.607666562634837e-17j),(1.6570668961120121e-16+5.659812791660657e-16j),(-2.772476480493825+0.2662761384158592j)
(7.908615117813907e-17+3.069597293266875e-17j),(1.4182728212145432e-20-5.347180200192018e-16j),(-2.767367136264462-1.1762806996651027j)
(-8.840205481160326e-17+2.4018249979314167e-16j),(-1.8248418862419482e-16-3.88232403578054e-16j),(-2.7673671362644314+1.17628069966508j)
(-1.9367525679270638e-17+5.3749364669634126e-17j),(-4.2358820100500053e-16-6.925340494664791e-16j),(-2.7648777163933627-1.439969484264865j)
(-4.461236597181834e-17+8.731437560015258e-18j),(1.6074010272658675e-15+2.9829850803770574e-16j),(-2.764877716393344+1.4399694842648543j)
(0.00036980095662322767-3.871398550407486e-17j),(-0.004458749371400464+3.1739785511804256e-16j),(-2.758059931091189+6.592676558705749e-16j)
(-4.1315899311848804e-17-3.4235652020384116e-17j),(-5.994343182035815e-16-4.883571420184573e-16j),(-2.752356055541604+0.9106669967654404j)
(1.8477650400121015e-16-4.890732924511334e-17j),(-7.761290302296743e-16-1.3521950320221296e-15j),(-2.7523560555416005-0.9106669967654383j)
(1.0372786944340227e-17+9.615052211782236e-17j),(1.0226768006658636e-15-7.130372377087171e-16j),(-2.731801878383056+0.8802695127145863j)
(-2.2916655731481138e-17-2.582871197785245e-17j),(2.1640121071350704e-16-4.246205158678999e-16j),(-2.7318018783830524-0.8802695127145854j)
(-2.110023578968794e-17+4.992854409995751e-18j),(3.467593860589043e-16+5.508967906741539e-16j),(-2.728354772151741-1.4181651493637144j)
(5.97844846972131e-17+3.781097834799008e-17j),(-1.5144646848166243e-18+9.98109333501031e-17j),(-2.72835477215174+1.4181651493637066j)
(1.817317084085325e-17+7.095180715075568e-17j),(-3.2251385858837747e-16+1.376852338930438e-16j),(-2.7270795883181456+2.324320951314434j)
(-4.753085307432113e-17-2.5527606489183026e-16j),(-4.2635575377883273e-16-8.864548208853528e-18j),(-2.727079588318127-2.324320951314435j)
(2.1905852874413455e-17-3.5688966571157275e-19j),(-1.8186979808868624e-16-4.234660206134897e-16j),(-2.723068753649123+0.01707804346401987j)
(5.91842525503584e-17+6.056705432642462e-17j),(-4.526590808603111e-16+3.2977627251374185e-16j),(-2.7230687536490903-0.017078043464018294j)
(-0.0005892187466437718-5.692677273161868e-17j),(-0.003810945076705749-9.827422921281896e-16j),(-2.694044805101849+4.318881869586535e-15j)
(7.599581152005956e-17-2.000572312609143e-17j),(-1.0479176275780183e-15+6.251680807020128e-16j),(-2.623491715028682-0.2587975607151674j)
(2.7691957684154172e-17-3.6583811051152496e-17j),(-1.1157663732484265e-16+1.1673695139916458e-15j),(-2.6234917150286727+0.25879756071516j)
