A,B,EV
(-7.683989042224504e-06+8.818153447438611e-17j),(-0.0005997408471540844-3.2636080290130843e-16j),(-3.6276700989808+2.220446049250313e-15j)
(-2.9247230024221457e-17-3.694521290823176e-17j),(-5.204711429245868e-17+8.823455426267986e-16j),(-3.3893605620684935-0.012406093938594069j)
(7.096358117815417e-17+2.6208788145994455e-17j),(1.109616311659142e-15-8.318530867173326e-16j),(-3.3893605620684837+0.012406093938588584j)
(-7.04609329918345e-17+6.068248304058078e-17j),(1.949938390072148e-15-5.296258897590675e-16j),(-3.319233601977342+0.2640896002342275j)
(-2.4658738298870492e-17+4.1983896903705435e-17j),(9.44250701048358e-16+3.6472589972003826e-16j),(-3.319233601977291-0.2640896002342233j)
(-5.1713038044567053e-17+1.372279932714643e-16j),(8.292449835549227e-16+1.786341559931076e-16j),(-3.1946346843480145-0.2697714536450654j)
(2.2126968234280364e-17-6.776141734100245e-17j),(6.458213535686447e-16-4.4169854255260245e-16j),(-3.1946346843479794+0.2697714536450692j)
(-5.243532355289533e-17+2.6134877795340632e-17j),(-5.159806431911435e-16+3.002150380901046e-16j),(-3.180620853641636+1.1709739328199749j)
(-8.771983612575956e-17-3.0557184014769804e-17j),(1.0836638581324002e-15-1.3332862383111308e-16j),(-3.1806208536416287-1.170973932819963j)
(-9.127523059726007e-06+8.69912239582736e-17j),(0.003208505791540084-9.62261838309515e-16j),(-3.1526616487253247-5.719561547124757e-15j)
(1.4091975840388894e-05+4.2911124581782034e-07j),(-0.0023566574882011304+0.002522115819960924j),(-3.131809314286425+0.27295040802910947j)
(1.409197584015102e-05-4.291112458395044e-07j),(-0.0023566574881992985-0.0025221158199611737j),(-3.13180931428641-0.2729504080291074j)
(-1.2612518829483162e-16+6.779564161882243e-17j),(5.519983833941002e-16+9.1779988940921e-16j),(-3.0826498606120727+0.25426522959545284j)
(1.0027817670281721e-16+2.271930768022822e-17j),(-1.922426971590779e-16-2.8566588148880665e-16j),(-3.0826498606120465-0.2542652295954421j)
(-1.1496112522540726e-16-1.4078312221604153e-16j),(-2.0785872928962162e-15+4.2787036856016666e-16j),(-2.958966521073661+0.23823244098110763j)
(-8.452550550314632e-17+1.2819927489678864e-16j),(9.55883442349438e-17+3.5682970016843046e-16j),(-2.958966521073658-0.23823244098109694j)
(-7.639056499930987e-17+1.8079970270096631e-16j),(-3.754704669529963e-15-2.7095296966284662e-15j),(-2.9562581069793192+0.265283059116304j)
(3.289759716986852e-17+3.2278077456207316e-17j),(2.6253538370259495e-15-6.450912538086587e-16j),(-2.956258106979255-0.2652830591162988j)
(5.3351399727062996e-17+6.773462805063895e-17j),(1.4963066742611953e-16+3.3189777755960587e-16j),(-2.9562087199611096-1.2216026934007287j)
(-3.9690882768544004e-17-1.3566156055468716e-16j),(1.7272001554514626e-15-5.498023227349752e-16j),(-2.9562087199611056+1.22160269340071j)
(-7.282902598657837e-17-1.539373112801753e-16j),(8.542548519762555e-17-1.6410468373226671e-15j),(-2.9495928330638694-1.216364995366516j)
(8.811676565514806e-17-1.790459422395482e-17j),(-1.4283453961056996e-16-1.181872883835455e-15j),(-2.9495928330638654+1.216364995366531j)
(-9.818517686692105e-06+1.433678601768762e-16j),(0.001852251422908513-1.5247186768732775e-15j),(-2.907987402591717-2.150145702759917e-15j)
(-1.0287054925840483e-16+4.9711982066137175e-17j),(-1.5497567180048861e-15+2.1834555549316103e-15j),(-2.907099946901717+0.5479205413594042j)
(-5.28014361688619e-17-1.3507568383064457e-16j),(-3.2215912964216224e-16+6.077699912142445e-16j),(-2.9070999469016936-0.5479205413593892j)
(3.9670855698841694e-17+1.3529510675850797e-16j),(2.2985252697733886e-15+5.224418367984543e-16j),(-2.900518152644057+0.8768528025598084j)
(-1.1422576836170778e-16+1.627556844760146e-16j),(-8.405001069911714e-16-4.953748218359842e-16j),(-2.9005181526440325-0.8768528025597935j)
(-9.170028008457589e-17-8.405683442341798e-17j),(3.15375093470811e-15-2.097645776388539e-15j),(-2.8959483315560854+0.26074310760090524j)
(-6.224384948582747e-17+1.9923879084206032e-17j),(-2.2255895197953056e-15+7.450354725609139e-16j),(-2.895948331556055-0.26074310760090424j)
(-3.651640861280536e-17-8.171147806074926e-17j),(1.21038081527093e-15-2.298152541437968e-15j),(-2.8647511388193667+0.015590125951642773j)
(1.5169699591217286e-16-1.0273994349568866e-16j),(-1.6200848061344262e-16-3.874756207191986e-15j),(-2.864751138819348-0.015590125951645094j)
(-6.462949056559215e-17-4.654151940050164e-17j),(1.244196869043939e-16-4.292252141921045e-16j),(-2.7722379824346572+1.4400000000000082j)
(-1.3720710782590702e-17+1.544029816559523e-17j),(-5.943872353065485e-16+3.5550698209775843e-16j),(-2.772237982434647-1.440000000000008j)
(1.1331314830683066e-05-5.44474143000203e-17j),(-8.326672684688674e-16-4.783511865448535e-16j),(-2.7722379824346315-6.266146904984331e-15j)
(-1.3588969664185732e-16+5.4559246194936664e-17j),(4.844112868964964e-16-2.4349031125472623e-15j),(-2.7671826427159645+1.396351844950309j)
