A,B,EV
(-0.0003491741173207022+3.731183425512638e-05j),(-0.017593154231699187-0.0018799585139657963j),(-1.4773563525799467+4.188899796692472e-16j)
(-9.093897988385275e-17-5.1169072355608486e-17j),(-2.2103699241662976e-15-2.6438561885003436e-16j),(-1.4729265783419028-0.22467162044262562j)
(-2.2827012830262203e-18+6.638683269501658e-17j),(1.4345954420743239e-15+7.685983146364107e-16j),(-1.4729265783418957+0.22467162044261854j)
(-1.3981070339357378e-16-1.9243788424928523e-17j),(1.3602825397856263e-15+6.887381663502001e-16j),(-1.4659440967863302-0.9329336891215166j)
(-1.6636895234452182e-16-1.751464344358677e-17j),(5.512954910217934e-16-1.5880408166801672e-16j),(-1.4659440967863215+0.9329336891215009j)
(0.0003495603811641309+0.0003263704442267065j),(-0.05087022150672685-0.013333092800550051j),(-1.4622210783636742-0.8431564442584223j)
(0.0003495603811637753-0.00032637044422686176j),(-0.050870221506726855+0.013333092800550433j),(-1.4622210783636669+0.8431564442584166j)
(9.663887954738982e-17-6.6943491512615416e-18j),(-7.905642081072972e-16-1.5202994926742002e-15j),(-1.4425710993460994+0.23768018771394772j)
(-6.221436707377798e-17+4.3603029684809084e-17j),(-6.220060131394482e-16-2.7389887208391086e-16j),(-1.442571099346097-0.2376801877139454j)
(9.056750919188455e-05-0.00021904773776836953j),(0.02685522238098288-0.005865207019134596j),(-1.4380313808615093-1.4016007652196636j)
(9.056750919177117e-05+0.00021904773776839845j),(0.02685522238098263+0.00586520701913516j),(-1.4380313808615075+1.401600765219675j)
(-1.0339815925291162e-16+8.227943346826275e-17j),(1.1613495609894261e-15-5.001606854687618e-16j),(-1.4251009651625366+0.315060563289402j)
(-1.4393612772872646e-16-2.605283896036809e-17j),(4.625086861533771e-16-1.0482891155916841e-16j),(-1.425100965162536-0.31506056328939713j)
(-3.4886765999109964e-17-5.885911640936118e-18j),(-2.4088881918778833e-15+8.5614183508796155e-16j),(-1.4241855549020082-0.5521720254636402j)
(4.805203129403825e-17-1.1819324570743972e-16j),(-9.890778602001923e-16-7.610052647774932e-16j),(-1.4241855549019888+0.5521720254636397j)
(0.00021838279837522507-1.099630842326066e-05j),(-0.001289739395468393+0.05500029283490297j),(-1.4209220078802303-0.19174309358788985j)
(0.00021838279837524827+1.099630842294223e-05j),(-0.001289739395469267-0.055000292834904575j),(-1.4209220078802187+0.19174309358789163j)
(1.7344594656932848e-16-1.7521371879608028e-17j),(2.9307255617963743e-16-3.7700632950501205e-17j),(-1.4113476278119934+1.6140864772599524j)
(-3.247880837449368e-17+1.481055144041466e-16j),(1.263864052674654e-16-4.710472032797489e-16j),(-1.4113476278119843-1.614086477259949j)
(1.0371426771361441e-18-8.063545301735475e-17j),(-3.4238379696928166e-16+4.2526196722016715e-17j),(-1.40367257004128-0.507416984262341j)
(-5.380307653228932e-18+1.4236643834435316e-17j),(1.1674708850870136e-15-8.894736546152382e-16j),(-1.4036725700412658+0.5074169842623321j)
(-1.791474843946597e-17+4.8040963946103844e-17j),(2.1797058433194039e-16-5.262162920645573e-16j),(-1.398339727470934-0.9591005171670292j)
(-9.940942263988968e-18-4.6556182653895234e-17j),(6.399810073687914e-16-8.777754599286581e-16j),(-1.398339727470922+0.959100517167023j)
(-2.7547245227484444e-17-2.220724033972918e-17j),(-4.445008721705865e-16-8.032294982831974e-17j),(-1.3918863991352508+0.47608554715413287j)
(8.990031721988175e-17+1.5848425293338336e-17j),(-5.101119741024784e-16-1.0062046319743717e-15j),(-1.3918863991352473-0.47608554715412826j)
(5.3057785153962486e-17-1.0971463554327956e-17j),(-2.274952147938876e-16-7.097638950459878e-16j),(-1.3882801058336294+1.2799881829894368j)
(-6.953328992150711e-17+3.255671713697667e-17j),(-4.156050047362323e-16-6.396021504274778e-16j),(-1.3882801058336245-1.2799881829894242j)
(-8.876716780153702e-18-1.0152002342028747e-16j),(3.021050930910005e-16+1.3567109733259255e-15j),(-1.3835573564485681+0.6161162569107714j)
(1.350696186866079e-16+5.543156022073879e-17j),(6.516365174095686e-16-1.8172478972792117e-15j),(-1.3835573564485488-0.6161162569107634j)
(5.56319279528653e-17+5.693671873649359e-18j),(-5.758190263378606e-16+7.483307205000064e-16j),(-1.3806397413419291-0.28403963464676224j)
