A,B,EV
(-3.770243743073977e-05+4.933108984560702e-17j),(-0.002112848735897066-1.8281039942311986e-16j),(-3.224801138203299+2.4574526441556444e-15j)
(-7.982253675699401e-17+1.804563429270793e-17j),(-1.6617092555624212e-16+1.1939118659588594e-15j),(-2.940369669233291-0.2872865440812938j)
(8.373888774824569e-17+7.930869077719291e-18j),(-4.202689590148236e-16+5.515205626793759e-16j),(-2.9403696692332715+0.28728654408129534j)
(-1.248987348727452e-17+6.422125601924414e-17j),(1.2032983655572047e-15-1.2034475966387085e-15j),(-2.93757564179903+0.5018514915864905j)
(4.567868367762919e-18+4.461517416670072e-17j),(8.949264414690844e-16-1.7871968334998904e-15j),(-2.937575641799015-0.5018514915864929j)
(-1.3278685533982165e-17+3.532806905135132e-17j),(-1.4293865255648169e-15-4.459101257443726e-16j),(-2.8955142333300428+0.2699637928939684j)
(-1.1357420204195563e-16+4.336284224531725e-18j),(1.5963686899446478e-15+8.022027149365639e-16j),(-2.8955142333300374-0.2699637928939655j)
(-3.8467791338124936e-17-2.983642698303628e-16j),(1.9622898916012312e-15-1.8741756582063183e-16j),(-2.885744005737838-1.17020254498888j)
(-9.317596450675572e-18+1.9318855112428982e-17j),(-1.2425297356658433e-15+1.7046322680908367e-15j),(-2.8857440057378296+1.1702025449888742j)
(-0.00011214623950801827+6.376458842601669e-05j),(0.004518093754058997+0.002568917067212323j),(-2.664862395858439-2.347963778263365e-15j)
(4.639443394808537e-17-4.100263487297988e-19j),(-1.0068288713092764e-16+1.1904757784247903e-15j),(-2.6557025853717753+0.2162850237571344j)
(5.123206974548991e-17-1.8413531346537216e-17j),(-9.137392875214494e-16+3.8220526060128203e-16j),(-2.6557025853717384-0.2162850237571292j)
(5.980786893789145e-05+7.033869992667725e-05j),(-0.015408803922562553+0.01034935114397334j),(-2.6517621608631674+0.7798001297929797j)
(5.9807868937102656e-05-7.033869992673818e-05j),(-0.015408803922563885-0.01034935114397341j),(-2.65176216086316-0.7798001297929653j)
(-0.00015257698185289995+3.231574429926064e-16j),(0.003202537692839097+1.999388629712286e-15j),(-2.6342348153282087-6.6361502037959296e-15j)
(6.476263081018545e-17+3.060037457311523e-17j),(6.457386623432904e-16-2.8432074371425805e-15j),(-2.6189492557460725+0.022841206443688727j)
(-4.1335155743522204e-17-1.1570324645414125e-16j),(1.962891643248022e-15+2.6673950052509947e-15j),(-2.6189492557460703-0.022841206443693515j)
(-4.951875607532506e-17+7.072465995641832e-17j),(1.5795420534718021e-15+5.793986375047227e-17j),(-2.615506638345897-0.7753217964856661j)
(-1.165758636049649e-16+3.451158387534304e-17j),(3.3262298820795466e-16+4.899941715236311e-16j),(-2.615506638345852+0.7753217964856692j)
(-1.612294727671731e-16+1.6047643808636484e-16j),(-6.446459648079923e-16-7.2922052337106095e-16j),(-2.614387162857857-1.4688784218113433j)
(-3.1941806046062754e-18-3.105176985477281e-17j),(1.5075997918657874e-16-8.47880733140973e-17j),(-2.6143871628578563+1.4688784218113409j)
(-2.0773223588073352e-17+7.321675108929743e-17j),(-6.631399643083048e-16+7.033532516622842e-16j),(-2.6107508958014756+0.6589027335432136j)
(9.190497086153901e-17+7.721815194341923e-17j),(-1.0297162125588942e-15+1.0494524117557031e-16j),(-2.6107508958014582-0.6589027335432014j)
(3.938729134112045e-17-6.10477427061013e-17j),(-5.182627990626903e-16+3.954035906226848e-16j),(-2.6051002028223693+0.5546506502375402j)
(-2.0137035125274356e-17+5.5473092761944606e-17j),(1.7529741336522601e-15-2.2836959269468602e-17j),(-2.6051002028223604-0.5546506502375528j)
(-8.374788664219672e-17+1.0946360485075338e-16j),(-1.227223037168839e-15-8.239120712339063e-17j),(-2.602091881808993-0.23055319420032055j)
(-7.645148823424611e-17-1.3803180702379025e-17j),(-1.6285853749979138e-15-6.103382029856692e-17j),(-2.6020918818089895+0.23055319420031806j)
(3.0409335233394334e-05+1.954715885582979e-17j),(-5.551115123125783e-16-3.6336996193470803e-16j),(-2.571550635003441-7.586666778491309e-16j)
(-2.388591586447624e-17+1.0765256435474388e-16j),(1.8040853708660452e-16+1.026375074003417e-17j),(-2.571550635003431-1.439999999999999j)
(1.5633811290376867e-17+2.99548414736905e-17j),(-1.3331292796302222e-15-1.5216097621869873e-16j),(-2.571550635003415+1.439999999999999j)
(7.510723264467501e-17-8.100883374644866e-17j),(-3.663694340668605e-15+8.024108341210904e-16j),(-2.56173873198781+0.8958406065339896j)
(1.8109501656372168e-16+4.112864524462033e-17j),(1.5574601532791152e-15+1.5219683714303378e-15j),(-2.5617387319878078-0.8958406065339881j)
(2.217369551397932e-17+1.556095614158766e-16j),(-1.9329286478572786e-16+1.6213064170492728e-15j),(-2.5579208769503046-1.6634260134209002j)
(9.30898239602983e-18-7.00836399596507e-17j),(1.4309131944588973e-15+4.713661410962553e-16j),(-2.5579208769502855+1.663426013420907j)
(5.255056609933712e-17+5.750902531859721e-18j),(1.3185210794740512e-15+4.442547435289661e-16j),(-2.5462150522461307+0.9007131257341456j)
(5.813928614305197e-17-1.2652801380234166e-17j),(-7.311146040497608e-16+5.928559234788782e-16j),(-2.546215052246126-0.9007131257341411j)
(0.0001250989576652775-2.7334943374115337e-16j),(-0.029550665114534524+8.768026025890414e-16j),(-2.5294663528884955+6.519331599592115e-16j)
(-7.794794623053891e-17-7.350225651814754e-17j),(2.5407296811608927e-15-2.6760126574960287e-15j),(-2.384755555782889-0.49321352628571913j)
(-2.3252055537793364e-17+7.111799017734568e-17j),(3.1748557612655885e-15-4.800959532041317e-15j),(-2.384755555782854+0.49321352628571696j)
(-1.8012137827474387e-16+1.4536858075684153e-16j),(1.1099172257785893e-15-4.688810813664915e-15j),(-2.3459663291448445+0.27898617034495987j)
(1.4730917632919872e-17+5.0664351881717655e-17j),(-1.4285483301104368e-16+1.948958069000061e-15j),(-2.345966329144826-0.2789861703449651j)
(-5.983241745659402e-17+1.508804766217958e-17j),(-3.2426004348006527e-16+4.09218363138747e-15j),(-2.3426602838755297+0.48247060853542756j)
(-7.764899013989679e-17-5.1220921509160576e-17j),(-8.431976439057073e-16+2.58714816691444e-15j),(-2.3426602838755257-0.4824706085354275j)
(2.737089888078078e-17+6.390750718404786e-17j),(2.689841744278832e-16+1.0705643834605257e-15j),(-2.342634288233459-0.9560165297010798j)
(-1.0048052732449015e-17-6.649621371059762e-17j),(-2.160189683078515e-15+3.3431190114083928e-15j),(-2.3426342882334183+0.9560165297010663j)
(-1.20686823989005e-17-1.2903695433246045e-18j),(-1.4207918634821299e-15-5.170256970914433e-16j),(-2.336101539630129+0.26295346866585056j)
(-1.2887039934077033e-16+2.9955083081445765e-17j),(1.3435212959411654e-15-3.848443860478749e-15j),(-2.3361015396300977-0.262953468665839j)
(1.7549596378472191e-16+2.0163811422014237e-16j),(1.8660308676324796e-17-2.4578366640714136e-15j),(-2.326147274209611+0.5160695054080847j)
