A,B,EV
(2.6149363037502454e-05+3.583574357623458e-17j),(-0.009463538527945584-3.4758185398794045e-16j),(-2.0400564810080204-6.661338147750939e-16j)
(1.3766272245340791e-17-1.6373873807071437e-17j),(-2.0398718084373303e-15-1.1525847298978175e-15j),(-2.0171750138010203+0.09633440406426791j)
(-1.8654422389659927e-17-3.4279334942386637e-17j),(2.3967268465938055e-15+1.0117455120703483e-14j),(-2.0171750138010087-0.09633440406427318j)
(0.0003207672896395914+1.9961192911202669e-16j),(0.10690213870416104-2.153325847282411e-15j),(-1.9939486106682824+5.113373595450097e-15j)
(2.8673765859294055e-17-1.7577952685321976e-17j),(-1.2245976097336583e-15-2.5191419863974464e-15j),(-1.9839208407893598+0.26841475055992464j)
(-2.6282561002971727e-17-5.721705179990784e-18j),(-1.0937278084220758e-15-1.689478151371341e-15j),(-1.9839208407893503-0.2684147505599284j)
(-7.141120016559952e-17+1.484718771161206e-16j),(-2.645890450705161e-16+1.0611427596753676e-15j),(-1.9765673075536168-1.172008992660547j)
(3.2771904547892712e-18+5.612027389020299e-17j),(-9.326680694858355e-17+1.498737446355028e-17j),(-1.9765673075535948+1.1720089926605484j)
(4.716524876083914e-17-5.0679649958377005e-17j),(-1.602846165281619e-16+1.8009302061526093e-16j),(-1.9631280498123442-1.440000000000001j)
(1.3179166893154126e-06-8.347781730082929e-17j),(1.304512053934559e-15-1.2710004763438595e-15j),(-1.963128049812325+2.213697032518755e-15j)
(-3.871910893786475e-17-1.6389572701385604e-17j),(-4.68029575467847e-16+1.2127236088290532e-16j),(-1.9631280498123196+1.4399999999999904j)
(4.0335210225187155e-17+5.560617459453058e-17j),(1.2724939237194905e-16-5.917540801006207e-17j),(-1.9625106480104888-0.1718474962031017j)
(7.504346037907966e-17+9.079755926340125e-18j),(4.3308109848163887e-16+2.884768417638946e-15j),(-1.9625106480104813+0.17184749620310444j)
(3.0938002927075476e-17-1.4374358609110377e-17j),(-2.1863221549603333e-15+2.8323954084463434e-16j),(-1.9598139879781777-0.3646195944410012j)
(-5.47774233169056e-17+1.0415388076077495e-17j),(-1.2570182120780622e-16-2.2163961052686305e-16j),(-1.959813987978172+0.3646195944409969j)
(-8.26434733575452e-17+1.0935666689973108e-16j),(3.530279094043489e-16+3.948483892811115e-16j),(-1.955292638076188+1.2686680144866411j)
(3.917007011877425e-17+5.8238742768938715e-18j),(-2.4646063732275755e-16-2.179042006633364e-16j),(-1.9552926380761797-1.2686680144866442j)
