A,B,EV
(-8.007749686123056e-06+7.235575824490731e-17j),(-0.0019506484214423248-2.8906852171790313e-17j),(-3.5875171612653465-1.3286946534984355e-15j)
(-2.1155344491377686e-17-7.278259299627528e-17j),(2.786864861271166e-16-2.2500142379057594e-15j),(-3.314821414607977+0.06087592045214185j)
(9.369271858947859e-17+1.7563703935462944e-16j),(-1.6198363192729057e-15+2.334973477002204e-16j),(-3.314821414607955-0.060875920452140346j)
(7.370122158203631e-17-6.439954241859816e-17j),(-1.301654050412191e-16+1.506697007149771e-15j),(-3.277250650770437+0.2955474669161068j)
(9.252408544284079e-17-7.36208061034517e-17j),(2.0254634194634923e-15-8.9861363963102e-16j),(-3.2772506507704167-0.29554746691610934j)
(2.5872867640988047e-17-5.930115741176624e-17j),(8.138737344573379e-16+2.6447666183251177e-16j),(-3.1373079479333557-0.26923561486286424j)
(1.2710479980386596e-16-4.095997458450532e-17j),(-7.246554134018414e-17-2.577712603275047e-16j),(-3.1373079479333343+0.26923561486286857j)
(-6.365873450431696e-17+1.9185600616765547e-17j),(-3.3615247023152895e-17-5.025105356666178e-16j),(-3.0661999010786567-1.1737003116200633j)
(-1.2486561523736188e-16-4.1438567894370154e-17j),(-1.7697144162467277e-16-4.219077119383118e-17j),(-3.066199901078642+1.1737003116200517j)
(0.00013609412543193287+4.196657518337001e-17j),(-0.012798025606253705-1.8168988925173342e-15j),(-3.0610564179548807-9.838560557520938e-16j)
(0.00012232416091281242+0.0001828873581461929j),(-0.02726080635506828-0.035385070987313055j),(-3.0420833671407146-0.34956216583856525j)
(0.00012232416091284966-0.00018288735814620156j),(-0.027260806355066614+0.03538507098731314j),(-3.0420833671407124+0.34956216583856636j)
(4.657984310277573e-17+1.9870088241766315e-17j),(9.981978675695629e-17-8.771846329252112e-16j),(-3.009277290607454+0.23565615243259003j)
(6.467985901000573e-18+3.064067723844967e-17j),(-7.876539406065042e-16-8.604280551668465e-16j),(-3.009277290607426-0.23565615243258828j)
(0.00017817375824281598-4.1356698480178544e-17j),(-0.036075952965569306+2.5325473932365608e-15j),(-2.945898063055306-1.2913704365069308e-14j)
(8.863887083486639e-17-1.1465485566434154e-16j),(-4.392439209110689e-16+1.5669593435333556e-15j),(-2.9127964038933323-1.2660016582403777j)
(2.450075412201013e-17-2.2362784533197173e-17j),(-1.1907850901791786e-15+4.785320258556513e-16j),(-2.912796403893307+1.2660016582403535j)
(7.218681978602525e-17-4.400483900730117e-17j),(-1.1285075715902453e-15+1.80031531036059e-15j),(-2.8976870498659295-0.13815043341873112j)
(6.661153539314566e-17-3.980330678669481e-17j),(-7.186345936207686e-16-8.044237253513163e-16j),(-2.897687049865927+0.138150433418735j)
(9.242226441290943e-17-1.1579327468237066e-16j),(5.003423896197498e-16+6.8587552033971e-17j),(-2.8900621702294673+0.6105338258127088j)
(8.392940264136332e-18-3.085822491151567e-17j),(-1.0678691415779698e-16-1.1346201790057933e-16j),(-2.890062170229463-0.6105338258127109j)
(7.493110210271614e-17-5.086273644039243e-17j),(-9.556017538874e-16+5.678444030953985e-16j),(-2.8615482908739462-1.3410542075610805j)
(5.93692685620264e-17-5.150513917036471e-17j),(1.2765984183521231e-16-5.114333515310257e-16j),(-2.86154829087393+1.3410542075610836j)
(2.75048769413687e-16+1.1787423540626207e-16j),(3.622949955421425e-15+2.2641536610733585e-15j),(-2.859537022793572-0.26592381204402993j)
(8.228622342448739e-19+4.023524652549423e-17j),(1.9197027537950224e-15+1.817447608439627e-15j),(-2.85953702279355+0.26592381204403026j)
(2.0782519130451355e-17+1.870338825521538e-17j),(-1.3445043641450768e-15+8.602126862323593e-16j),(-2.850444540236113+0.7863684071923518j)
(4.147691792086908e-17-5.2649502710895917e-17j),(6.70599746981699e-16-5.239239245180037e-16j),(-2.85044454023608-0.7863684071923336j)
(-1.5585775494033918e-16-1.4050572864950488e-16j),(1.5687738369926143e-16+7.332969033822996e-16j),(-2.8000779219719756-0.2792775304260988j)
(-1.0107850543534737e-16+1.5822184518454407e-17j),(-5.160428741472136e-16+7.896943308521398e-16j),(-2.8000779219719574+0.27927753042609643j)
(8.341337536787788e-17-2.485880162971045e-16j),(4.2558182771320056e-15-2.159519669601291e-15j),(-2.7556321042131797-0.009217730151874945j)
(-1.5374630665129917e-17+9.372822666693288e-18j),(2.6054748418411777e-16+6.919579551698945e-16j),(-2.755632104213166+0.009217730151881695j)
(-9.678243363820917e-18+1.0064705792903593e-16j),(8.974490775831773e-16+3.4940824746638374e-16j),(-2.7460111973820966-1.4399999999999997j)
(1.4813397113573343e-18+1.093226161445384e-17j),(-2.287740536075859e-17-1.0460835124283941e-16j),(-2.7460111973820927+1.4399999999999897j)
(3.446977609417121e-05+2.427599131242508e-16j),(-2.4980018054066022e-15-8.648823573459267e-16j),(-2.7460111973820904+5.780767132784414e-15j)
(8.69154922238696e-17+2.3234706889504783e-17j),(1.2004648756232907e-15-3.734246448576358e-16j),(-2.7187843295647225-1.4427127868094307j)
(1.1034093288490706e-17-1.0982263777172988e-16j),(-6.988543463555008e-16-9.076199447233324e-17j),(-2.7187843295647+1.4427127868094238j)
(4.2231755144064443e-17-1.5349286899354955e-16j),(-1.3239056368751498e-16-1.8846821560059393e-15j),(-2.7134568959933825-0.038630198806642195j)
(-1.2636060873426574e-16+1.5054590514759084e-16j),(-2.9716821989821846e-15+7.647601397207529e-16j),(-2.7134568959933825+0.038630198806636984j)
(1.0352674859505056e-16-4.280685146709002e-17j),(9.05543787612885e-16-1.4644400936502477e-15j),(-2.71156940838399+0.8679567922155083j)
(1.5384930199157276e-16-1.3717936040213822e-16j),(-3.382835995059846e-15+1.785134585400011e-15j),(-2.7115694083839545-0.8679567922154976j)
(8.555730571757868e-17-6.722064402179741e-17j),(1.1009583272680926e-15+8.802818382361495e-16j),(-2.6851442395383813+0.5675879895513024j)
(7.064700493087484e-17+4.173749668003931e-17j),(-2.1378216452872702e-15-1.969541954896949e-15j),(-2.68514423953837-0.5675879895513105j)
(-5.907027426952875e-17+8.13758725149235e-17j),(1.6698152033838272e-15+1.7465323157198906e-15j),(-2.6477940320775164+0.4800100297345083j)
(-5.729154005771797e-17-3.792202622080539e-17j),(-2.3718109292957717e-15-1.033303362458983e-15j),(-2.6477940320774778-0.48001002973449575j)
(1.5019435388626464e-16-1.551307033247669e-16j),(5.331206190791381e-16+1.911530783638111e-16j),(-2.6473731261254643+0.958578224200595j)
(1.323466223689952e-16+8.652151380166761e-17j),(-1.5300382917999548e-16+7.57743387798771e-16j),(-2.6473731261254514-0.9585782242005941j)
(-1.1353728361304915e-16+4.883308650302304e-17j),(-2.9899014457485687e-15+9.90787570402692e-15j),(-2.627295205915542-0.05916209340404668j)
(-2.439091176715561e-18-8.447681603330424e-17j),(-3.348289248661576e-15+4.28144063457527e-15j),(-2.627295205915503+0.05916209340404981j)
(-6.307286090448846e-17+8.519225228760963e-17j),(6.498464357770388e-15+3.589954362649017e-15j),(-2.5750598564776532+0.13162530856794533j)
(8.090373305870916e-18-8.48465628710168e-17j),(5.878928912447906e-15-3.439575044378726e-15j),(-2.5750598564776106-0.13162530856793522j)
