A,B,EV
(-0.0001601172892742482+5.989526459331756e-17j),(-0.0067998126138583415-6.735664687834199e-16j),(-3.59857868955375+2.157691394497738e-15j)
(4.102341520686133e-17-1.1620404229107011e-17j),(-1.0054368239931555e-15+4.298675706358197e-16j),(-3.2851204530137674-0.9106602748135286j)
(2.2901406251122502e-17-6.9117108721139985e-18j),(-1.4138886241368046e-15+4.517705975897706e-16j),(-3.2851204530137537+0.910660274813532j)
(-3.748944105483116e-17-2.2612181273168174e-17j),(-1.0440212498287556e-15-4.584859180877807e-16j),(-3.2802078619435293-0.6821160528429648j)
(7.471086231885991e-17-7.911276111082374e-18j),(1.833124246098839e-15+8.051275132225601e-17j),(-3.280207861943522+0.6821160528429838j)
(-8.721115604293981e-18-1.3228272433140858e-17j),(2.8030130155715976e-16-8.95653166415027e-16j),(-3.203975897254124+0.2698021818627344j)
(4.0286127398438767e-17-3.0275040192412865e-17j),(7.100034461614354e-16-1.0611076140270076e-15j),(-3.2039758972541175-0.2698021818627278j)
(3.060266386527588e-17-5.4225112139066073e-17j),(-2.2194114545768537e-16+2.850906315956465e-16j),(-3.191532863937983+1.1704457534558406j)
(-4.337089447258641e-17+5.723202312619057e-18j),(1.6152790099141945e-15-1.722167374637161e-16j),(-3.1915328639379683-1.1704457534558248j)
(-0.000775401130403499+6.488336965298497e-17j),(0.019372883767288712-1.3031837472030792e-15j),(-3.0131239406921453-4.4408920985005497e-16j)
(7.219025753559509e-17-4.162048483511203e-17j),(-3.270487712442831e-16+4.229686431608168e-17j),(-2.9861053417451178+0.21373259103440231j)
(5.73644366490888e-17+1.8985075032373607e-17j),(-3.843046756827539e-16+8.040359420952046e-16j),(-2.9861053417451053-0.21373259103440387j)
(0.0007272443779348502-0.00023601826341199637j),(-0.012527301686349787-0.004065582463004532j),(-2.9695746348680028+1.263247986818386e-15j)
(-0.0006117188291494863+0.0001175511066369055j),(0.03620618213425145-0.004007706246741807j),(-2.9466541752674478+1.5855662322635433j)
(-0.0006117188291493032-0.00011755110663697575j),(0.0362061821342512+0.0040077062467428134j),(-2.9466541752674185-1.5855662322635393j)
(2.9739950743237133e-18-6.520449261100151e-17j),(-7.972556328011298e-16+2.356972591005051e-15j),(-2.917342078776353-1.19096302804852j)
(-4.251620231948448e-17-1.2327632534183955e-17j),(4.616891430914643e-16-1.7862444387307267e-16j),(-2.917342078776327+1.1909630280485255j)
(-1.0309919047898319e-16-1.2004773573558182e-17j),(4.443160034455861e-16+7.510219295727064e-16j),(-2.9104001459370266+0.4258904940676511j)
(-7.722784854937659e-17-1.4115057326916495e-17j),(1.7679265865892352e-16-5.528664042429134e-16j),(-2.9104001459370084-0.42589049406764434j)
(3.372285026078695e-18+4.1308873066856686e-17j),(1.1965803323555493e-15+6.935933018887926e-17j),(-2.910306918669517-0.2415916744592426j)
(6.933609088004699e-17+4.534440855003584e-17j),(4.800777744020733e-16+2.782108225589152e-16j),(-2.9103069186694897+0.2415916744592507j)
(7.270034127788645e-17+3.158388475785078e-17j),(-8.226145812998367e-16-2.0010365924103106e-15j),(-2.904892150037115-1.8729193793537007j)
(4.922930312911864e-17+5.0828618191399774e-18j),(-1.0853326707041212e-15-1.8615385358426582e-17j),(-2.904892150037111+1.8729193793536965j)
(-3.5481861410064047e-17+9.047074611115563e-18j),(2.45797405181755e-16+7.062274690665169e-16j),(-2.872142075499085+0.6469983837685103j)
(-2.8676218970315743e-17+1.1538551883895462e-16j),(1.0452278063771843e-16+1.7895288336274912e-16j),(-2.8721420754990783-0.6469983837685088j)
(-4.2617180144181604e-17+5.592582977645722e-17j),(1.6455820699021573e-16+8.6576244870883945e-16j),(-2.864662609800554-0.9538848024047921j)
(1.0560403853445154e-16+5.531022322289928e-17j),(8.626080324750703e-16+9.204033133036535e-17j),(-2.8646626098005417+0.9538848024048021j)
(0.00012686573824159837-1.1356762310565355e-16j),(-4.440892098500626e-16+4.911782011127082e-16j),(-2.8369868741915294+6.662856846406161e-15j)
(-2.000951488044847e-17-9.0610677696923e-18j),(3.0812678985835216e-16-7.337427187191377e-16j),(-2.836986874191522+1.4400000000000055j)
(-7.817191731871446e-17-5.528074901549551e-18j),(-3.4126958653960543e-16+6.807818247241254e-16j),(-2.836986874191518-1.4399999999999948j)
(-3.519390493728235e-17+1.3137946008084971e-17j),(-2.2775316596813396e-16+1.9316241828525593e-15j),(-2.82163216848934+2.0987022851069055j)
(1.326982284982741e-16-5.3555504481743984e-17j),(3.4265638964994395e-16+5.137122318926678e-16j),(-2.821632168489336-2.0987022851069086j)
(-4.163007412442653e-17-4.940941062538191e-17j),(1.1222482841302252e-15-7.123618732182214e-16j),(-2.809320731086745+0.4779428127263422j)
(6.096279323212478e-17+3.278507424080791e-19j),(1.2107776703642356e-15+1.3968012052321431e-15j),(-2.809320731086739-0.47794281272633526j)
(-1.465522727707445e-17-1.0757705960225778e-16j),(1.4720841278761526e-15-1.2471941812119687e-15j),(-2.770928694774188-0.9075640994375149j)
(1.5902677400685286e-17-3.573513101513199e-18j),(2.561314214828187e-16-1.4047070202845248e-15j),(-2.770928694774188+0.9075640994375261j)
(0.0016080370079454252-1.640477360821536e-16j),(-0.11057666562858826+3.247232136654768e-15j),(-2.7268586400988784+3.989148960800011e-15j)
(2.2158267848626742e-17+3.884825361250263e-17j),(2.7709643868822276e-15-6.561727004738332e-16j),(-2.6917417124976013-0.8640114479634328j)
(2.7430287772326855e-17-2.1274260092945976e-17j),(-8.136290621841279e-16-3.155785136101138e-15j),(-2.691741712497599+0.8640114479634368j)
(-8.24145241761776e-17+3.796873147913997e-17j),(1.3041859873918625e-15-1.4724117309725683e-15j),(-2.6340893709176845-0.9620406089640222j)
(-4.988884358027214e-18-1.891184581426981e-17j),(6.933380201028072e-16-3.5202593707846223e-16j),(-2.6340893709176796+0.962040608964027j)
