A,B,EV
(2.151297330496094e-06-3.279935700728194e-17j),(-0.001949345047791179-3.366561987341494e-16j),(-2.165038906304522-2.0906582264953847e-15j)
(-1.7742833435482804e-17-2.4902983390448826e-17j),(-3.479921602173706e-16-4.966050382357641e-16j),(-2.010357756984343+0.2699989046678478j)
(-3.212899700091979e-17-5.442452810024345e-17j),(-2.854175312916636e-16+1.2882068196735118e-15j),(-2.0103577569843187-0.26999890466783877j)
(-1.6005218386706625e-17-2.8294326130876996e-17j),(1.2899911364822426e-16+4.624594162970076e-16j),(-2.0084319033504965+1.1700054639546944j)
(-1.2165713493914627e-18+7.179274571761296e-17j),(6.289278690012703e-16+1.627882547965999e-15j),(-2.0084319033504916-1.1700054639547022j)
(4.5939845444668206e-17+3.659288986907641e-17j),(9.422888749263032e-16+1.2815270738621871e-15j),(-1.9388025988668727-0.8166046517773534j)
(2.3752690058259492e-17-1.9645840870026095e-17j),(4.5657766906743486e-17+1.5107897776155065e-16j),(-1.9388025988668571+0.8166046517773574j)
(-5.566556467020666e-17+6.668530882386167e-17j),(-5.723430970804294e-16-7.145357214421499e-16j),(-1.9379817955513177+0.6147989458341703j)
(-2.897196389427952e-17+4.3921002977992664e-18j),(1.2752394246213597e-15+1.418879232364666e-15j),(-1.9379817955513068-0.6147989458341717j)
(5.8539295025830946e-18-2.2247555301446975e-17j),(-2.640723048702702e-16-5.117992456669582e-18j),(-1.8558775000998222+1.4400000000000033j)
(4.035647026513555e-06-1.0815066783330629e-16j),(7.771561172376096e-16-2.7785655976775254e-15j),(-1.8558775000998193-2.1233737388260702e-15j)
(2.315527080783595e-17+4.5693591334606765e-17j),(-3.051359630305045e-16-9.783691611639906e-16j),(-1.8558775000998156-1.4399999999999942j)
(-1.7517079151698568e-17+5.7952222722319886e-18j),(-2.9351799579610714e-16+4.2431556156946803e-16j),(-1.8523975586535302-0.9000100508789416j)
(5.3319728136499764e-17-1.8625980062181764e-16j),(3.0017932938778226e-16-6.046081206904333e-16j),(-1.8523975586535137+0.9000100508789372j)
(-7.094352084995937e-05-8.967914432745552e-17j),(0.004338979628665335-3.030240031389036e-16j),(-1.8519429219491481+5.216793233369883e-16j)
(8.492504664837441e-17-4.06128349894223e-17j),(-4.120875978287841e-16-6.276368149686311e-16j),(-1.7848752608473655-1.08656657846641j)
(-2.6919418639299425e-17+2.928212558089026e-18j),(5.458411158897897e-16-8.16250590427611e-16j),(-1.784875260847362+1.0865665784664007j)
(-1.3444591727255537e-17+6.195485919969282e-17j),(1.2548152487867824e-15+7.865825342644294e-16j),(-1.7842135356519588-0.3523577863930134j)
(2.9397990837775624e-17+2.844781303009278e-17j),(2.9678118653196876e-16-6.95192399677903e-17j),(-1.7842135356519555+0.3523577863930066j)
(9.354141072482252e-18+2.8606957612544145e-17j),(-2.3487340526723697e-16+4.2202181341249007e-16j),(-1.7841143532431545-0.34476061733045643j)
(-8.986946251599823e-18+2.7278398836519973e-17j),(8.484618614199798e-16+5.104172476288956e-16j),(-1.7841143532431427+0.3447606173304534j)
(-4.9350000639615426e-17+1.6511559482659396e-17j),(-6.576125281993591e-16-9.419937268721202e-17j),(-1.7834606669851354-1.7858230037972165j)
(-3.530147609123731e-17+7.350110117457379e-17j),(1.9805071784097857e-16+7.327417043870044e-16j),(-1.7834606669851338+1.7858230037972254j)
(5.911718080487942e-19-1.126323492338158e-17j),(-4.131696317887535e-16+5.221935920687967e-16j),(-1.7834402158527456+0.5463603393277439j)
(-2.8709098241285756e-17+8.18123556094692e-18j),(2.6510548190739285e-16+1.0143574345373837e-16j),(-1.7834402158527347-0.5463603393277459j)
(-6.944081940332878e-18+8.377394050909915e-18j),(7.36298128291592e-16+9.45793194915427e-16j),(-1.782617575495474+0.8845229212901652j)
(-2.119026990614457e-18-5.880711580455444e-18j),(3.118631870422713e-16-3.3349593232193476e-16j),(-1.782617575495472-0.8845229212901735j)
(2.196798890015615e-17-9.443661473691168e-18j),(7.39571925529046e-16+7.999124272318023e-18j),(-1.7780089501100547+1.9872140209099336j)
(1.4647072175954387e-17+4.676020626101716e-19j),(2.6838156095387167e-16+1.244357794427223e-15j),(-1.778008950110046-1.9872140209099338j)
(-3.5140144873674084e-17+2.0184196516018875e-17j),(4.9109384377322915e-16-5.366441684485337e-16j),(-1.7771463053201062-0.5546612743770154j)
(8.91221907148808e-18+1.2675319665757297e-17j),(-2.7601935003244276e-16-1.2366498790152138e-15j),(-1.7771463053201035+0.554661274377013j)
(-1.419037731751319e-17+2.051760451130587e-17j),(-5.5823955288177225e-16-7.120425220031312e-16j),(-1.7125584214595437+0.20156614510095586j)
(3.512967262347134e-17-6.693512957213321e-17j),(-1.1909285651644279e-15+8.775386303400991e-17j),(-1.7125584214595204-0.20156614510095267j)
(-3.786117451088492e-05+2.8491165170158303e-06j),(0.0024026439845718055+0.0001808029663489764j),(-1.7125118752479387+1.3322676295501878e-15j)
(-1.8228267954300925e-05-0.00010262321885743548j),(0.0032136677356821297+0.00200129739830455j),(-1.7098019433857887+1.4298340437785864j)
(-1.8228267954300684e-05+0.0001026232188574335j),(0.003213667735683823-0.002001297398304005j),(-1.7098019433857885-1.4298340437785944j)
(-0.00013027151024713442-9.249784631256862e-18j),(0.011105710634128158+2.485807773440664e-15j),(-1.7063815611098954+4.013573304785518e-15j)
(1.62433550800801e-17+7.387762632171239e-17j),(-5.435719780885388e-16-1.027392454101576e-15j),(-1.6998740529671266-1.1700040593931142j)
