efficiency,dark count rate,jitter,entropy production,entropy rate,machine_efficiency,L first gap,ss noise,d_l,e_max,e_s,TH,TC,g_sl,g_ml,e_C,e_C_factor,t_f,t_steps,rateM,rateD,rateB,Tb,Td,k,Tb_indep_flag,Td_indep_flag,Td_eq_Tb_flag,Max_TV_flag,first_gap_flag,epsilon,noise_flag,e_l,TV
0.4886800974170575,-0.01973534034696948,3.55650543496426,0.7986756353577091,0.04871970020788118,0.6250000000000001,,,3,0.11,0.1,0.13714285714285718,0.05,1,1,0.005999999999999997,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,0.009999999999999995,-3
0.48691491777271445,-0.008238954734694591,11.388995102430846,0.2662357890668156,0.20386120567302587,0.6250000000000001,,,3,0.17517241379310344,0.1,0.13714285714285718,0.05,1,1,0.04510344827586206,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,0.07517241379310344,-3
0.5036682833989933,-0.0021903812214289667,23.022615932051583,-0.41305696467816,0.2593950229247281,0.6250000000000001,,,3,0.2403448275862069,0.1,0.13714285714285715,0.05,1,1,0.08420689655172413,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,0.1403448275862069,-3
0.5134585964598345,-0.0004649312052644103,44.60574908415586,-1.1597524207531715,0.2162901311140542,0.6250000000000001,,,3,0.3055172413793103,0.1,0.13714285714285715,0.05,1,1,0.12331034482758617,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,0.2055172413793103,-3
0.5182613592664432,-5.3147222843201606e-05,90.13091214886613,-1.9209740594045532,0.14731405729106947,0.6250000000000001,,,3,0.37068965517241376,0.1,0.13714285714285715,0.05,1,1,0.16241379310344822,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,0.2706896551724137,-3
0.5207607854011809,2.1154120945635195e-05,187.6109503494913,-2.6732341111636835,0.08974905182630222,0.6250000000000001,,,3,0.4358620689655172,0.1,0.13714285714285715,0.05,1,1,0.2015172413793103,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,0.3358620689655172,-3
0.5221359355479549,2.247348105546912e-05,396.4742264099442,-3.4124595472529977,0.05127183131642528,0.6250000000000001,,,3,0.5010344827586206,0.1,0.13714285714285715,0.05,1,1,0.24062068965517236,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,0.40103448275862064,-3
0.5229162868775852,1.3912457385134856e-05,843.7393038683689,-4.141549058213323,0.028165300443602066,0.6250000000000001,,,3,0.5662068965517241,0.1,0.13714285714285715,0.05,1,1,0.27972413793103446,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,0.4662068965517241,-3
0.5233656272283407,7.422533943499984e-06,1801.090427888495,-4.864072157630587,0.015082221282498356,0.6250000000000001,,,3,0.6313793103448275,0.1,0.13714285714285718,0.05,1,1,0.3188275862068965,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,0.5313793103448275,-3
0.523626000645287,3.7175418466425574e-06,3849.680453816888,-5.5826401402468235,0.007933730897242095,0.6250000000000001,,,3,0.696551724137931,0.1,0.13714285714285718,0.05,1,1,0.3579310344827586,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,0.596551724137931,-3
0.5237772510862895,1.804692762967133e-06,8232.633284665657,-6.29889700807146,0.004118578998060289,0.6250000000000001,,,3,0.7617241379310344,0.1,0.13714285714285715,0.05,1,1,0.3970344827586207,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,0.6617241379310345,-3
0.5238651858756801,8.617110863426895e-07,17609.049155503224,-7.01381832440463,0.002116140455720473,0.6250000000000001,,,3,0.8268965517241379,0.1,0.13714285714285718,0.05,1,1,0.43613793103448273,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,0.7268965517241379,-3
0.5239163187055426,4.077196547990728e-07,37666.83304898512,-7.727969072103744,0.0010782704908731198,0.6250000000000001,,,3,0.8920689655172412,0.1,0.13714285714285718,0.05,1,1,0.4752413793103447,0.6,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,False,1e-06,True,0.7920689655172413,-3
