efficiency,dark count rate,jitter,entropy production,entropy rate,machine_efficiency,L first gap,d_l,e_max,e_s,TH,TC,g_sl,g_ml,e_C,e_C_factor,t_f,t_steps,rateM,rateD,rateB,Tb,Td,k,Tb_indep_flag,Td_indep_flag,Td_eq_Tb_flag,Max_TV_flag,first_gap_flag,epsilon,e_l,TV
0.5882241252367992,-3.345810699442633e-05,6.716737508018137,-59.842310894105815,26.806892112496172,0.7692307692307692,0.14798503775671357,3,1,0.1,344208.9357497875,0.007943282347242814,1,1,0.27,0.3,3000,3000,1,1,0.7,0.1,0.1,1,False,False,False,True,True,1e-07,0.9,-0.026477610471903498
0.5882352937505655,7.117826636035414e-11,6.716739667970342,-51.08667187455596,22.77389562745197,0.7692307692307693,0.1479850809514421,3,1,0.1,409905.93740967766,0.009459366861066257,1,1,0.27,0.3,3000,3000,1,1,0.7,0.007943282347242814,0.007943282347242814,1,False,False,False,True,True,1e-07,0.9,-0.03153122602334315
0.5882352832422284,2.108769991636263e-09,6.7167380101688945,-42.89883834207471,19.123850340037436,0.7692307692307693,0.14798511722579083,3,1,0.1,488142.11432237807,0.011264816923358862,1,1,0.27,0.3,3000,3000,1,1,0.7,0.009459366861066257,0.009459366861066257,1,False,False,False,True,True,1e-07,0.9,-0.03754939349946852
0.5882351069383674,3.629432365194623e-08,6.71673661464965,-36.02328739284174,16.058806982950095,0.7692307692307693,0.14798514756488215,3,1,0.1,581310.741634568,0.013414861922639128,1,1,0.27,0.3,3000,3000,1,1,0.7,0.011264816923358862,0.011264816923358862,1,False,False,False,True,True,1e-07,0.9,-0.04471621088041774
0.5882332523962922,3.9589499814448196e-07,6.716735573492318,-30.24962689079954,13.48499022381565,0.7692307692307692,0.14798516819684715,3,1,0.1,692261.8783941673,0.01597527253463916,1,1,0.27,0.3,3000,3000,1,1,0.7,0.013414861922639128,0.013414861922639128,1,False,False,False,True,True,1e-07,0.9,-0.053250913773888055
0.588220109324723,2.9443775326925197e-06,6.716737709017721,-25.400893782128474,11.323585693789411,0.7692307692307692,0.1479851063847129,3,1,0.1,824389.563338566,0.01902437267172322,1,1,0.27,0.3,3000,3000,1,1,0.7,0.01597527253463916,0.01597527253463916,1,False,False,False,True,True,1e-07,0.9,-0.0634145819138683
0.5881534238784373,1.5875046294401058e-05,6.7167711041868525,-21.327542593740674,9.508172701915385,0.7692307692307692,0.14798430079271557,3,1,0.1,981735.6322939385,0.022655435440481153,1,1,0.27,0.3,3000,3000,1,1,0.7,0.01902437267172322,0.01902437267172322,1,False,False,False,True,True,1e-07,0.9,-0.075518125686749
0.5878984283775158,6.532161045585318e-05,6.717005586309786,-17.90189388647852,7.982386289418008,0.7692307692307692,0.1479788935555966,3,1,0.1,1169113.360347946,0.026979536400729993,1,1,0.27,0.3,3000,3000,1,1,0.7,0.022655435440481153,0.022655435440481153,1,False,False,False,True,True,1e-07,0.9,-0.08993179699561211
0.5871311808364619,0.00021410426332009504,6.718140803802102,-15.013531429366733,6.697834873224515,0.7692307692307692,0.14795326649023885,3,1,0.1,1392254.7000207342,0.03212895140817722,1,1,0.27,0.3,3000,3000,1,1,0.7,0.026979536400729993,0.026979536400729993,1,False,False,False,True,True,1e-07,0.9,-0.10709651540357454
0.5852483310288175,0.0005791653207781291,6.722268990709844,-12.56670534919441,5.612541563763122,0.7692307692307693,0.14786120646256987,3,1,0.1,1657985.6246176213,0.03826120298201575,1,1,0.27,0.3,3000,3000,1,1,0.7,0.03212895140817722,0.03212895140817722,1,False,False,False,True,True,1e-07,0.9,-0.12753735602712019
0.5813673200698719,0.0013309249326919621,6.734140836942274,-10.480350207856866,4.690285385307883,0.7692307692307692,0.14759887352954668,3,1,0.1,1974434.9485955948,0.04556387897733956,1,1,0.27,0.3,3000,3000,1,1,0.7,0.03826120298201575,0.03826120298201575,1,False,False,False,True,True,1e-07,0.9,-0.15187961177909154
0.5744854698420633,0.0026597413203413942,6.762225973986063,-8.689832066262632,3.9009376095398896,0.7692307692307693,0.14698459207493916,3,1,0.1,2351282.974133841,0.05426037096736028,1,1,0.27,0.3,3000,3000,1,1,0.7,0.04556387897733956,0.04556387897733956,1,False,False,False,True,True,1e-07,0.9,-0.18086792131132462
0.5637796411208226,0.004710899645579033,6.818654410589543,-7.148160588434142,3.2212703373644795,0.7692307692307693,0.14576918676957262,3,1,0.1,2800057.6194729917,0.0646167078746697,1,1,0.27,0.3,3000,3000,1,1,0.7,0.05426037096736028,0.05426037096736028,1,False,False,False,True,True,1e-07,0.9,-0.21538904778780163
0.5489209820664844,0.007513522320992471,6.91749604119527,-5.824420504518477,2.635230364295781,0.7692307692307692,0.1432708408974974,3,1,0.1,3334487.063846515,0.07694969389486886,1,1,0.27,0.3,3000,3000,1,1,0.7,0.0646167078746697,0.0646167078746697,1,False,False,False,True,True,1e-07,0.9,-0.25649900529946085
0.5302359752465889,0.010944904976277843,7.0716220130076115,-4.698831023001881,2.1328525754771137,0.7692307692307692,0.13863658513697444,3,1,0.1,3970919.7072403445,0.09163659965467225,1,1,0.27,0.3,3000,3000,1,1,0.7,0.07694969389486886,0.07694969389486886,1,False,False,False,True,True,1e-07,0.9,-0.30545536272777407
0.5086095539832295,0.014762823127531233,7.288748298865756,-3.7560339598368344,1.707872701390948,0.7692307692307693,0.13277972731762056,3,1,0.1,4728824.263390295,0.10912670306061643,1,1,0.27,0.3,3000,3000,1,1,0.7,0.09163659965467225,0.09163659965467225,1,False,False,False,True,True,1e-07,0.9,-0.3637557132442892
0.4851529742213739,0.01869989889578054,7.566616853368851,-2.9793214400534622,1.355030263130665,0.7692307692307693,0.12609325217484604,3,1,0.1,5631385.326324961,0.12995503287722399,1,1,0.27,0.3,3000,3000,1,1,0.7,0.10912670306061643,0.10912670306061643,1,False,False,False,True,True,1e-07,0.9,-0.43318348624242425
0.4607629832715847,0.022564890626683008,7.886234777556844,-2.347867655247195,1.06821681722905,0.7692307692307693,0.11922761304769487,3,1,0.1,6706212.527525317,0.15475873545578891,1,1,0.27,0.3,3000,3000,1,1,0.7,0.12995503287722399,0.12995503287722399,1,False,False,False,True,True,1e-07,0.9,-0.5158625031055416
