efficiency,dark count rate,jitter,entropy production,entropy rate,machine_efficiency,L first gap,ss noise,d_l,e_max,e_s,TH,TC,g_sl,g_ml,e_C,e_C_factor,t_f,t_steps,rateM,rateD,rateB,Tb,Td,k,Tb_indep_flag,Td_indep_flag,Td_eq_Tb_flag,Max_TV_flag,first_gap_flag,epsilon,noise_flag,e_C_independent_flag,e_l,TV
0.49351586829442945,-0.01746072133488207,3.0921049202429214,0.7933771977361499,0.05647832041159602,0.0909090909090909,0.3209426806345344,0.022650468566984244,3,0.11,0.1,0.05509181969949917,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,0.009999999999999995,-3
0.49810776278508284,-0.007189252565578272,8.203632051740135,0.17578811008443285,0.23563499436023919,0.42913385826771655,0.12143186003334912,0.00979234415975195,3,0.17517241379310344,0.1,0.08869747410080317,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,0.07517241379310344,-3
0.5140961817540555,-0.0014225329954421699,11.541185001400262,-0.49328261576532073,0.37958010293904926,0.5839311334289813,0.08643758698871253,0.0035992177381594503,3,0.2403448275862069,0.1,0.12305066792208556,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,0.1403448275862069,-3
0.5209187997372495,0.00025055127918226623,13.851444173214478,-1.17279856587698,0.4841390003429373,0.672686230248307,0.07206207386288177,0.0016575097847331762,3,0.3055172413793103,0.1,0.15817662461318732,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,0.2055172413793103,-3
0.5231752217358241,0.0006385201826006581,16.26550069147388,-1.8481133678113109,0.5551845827585689,0.7302325581395347,0.06139211748221446,0.0010273951566927377,3,0.37068965517241376,0.1,0.19410171531748416,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,0.2706896551724137,-3
0.5238954880458977,0.0006686202907978757,19.10361177282745,-2.5189814684335343,0.5963471163712234,0.7705696202531644,0.05228874170574118,0.000774703866299963,3,0.4358620689655172,0.1,0.23085352489954944,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,0.3358620689655172,-3
0.5241247169103336,0.0006064920697995489,22.532052903098357,-3.1863677248183446,0.6121992027947347,0.800412938747419,0.044344430766063085,0.0006346115699995222,3,0.5010344827586206,0.1,0.26846092258422116,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,0.40103448275862064,-3
0.524198379117039,0.0005265201097858962,26.70340683989987,-3.8508019923877956,0.6077820374665859,0.8233861144945188,0.03742530996178654,0.000533392400316104,3,0.5662068965517241,0.1,0.3069541375872383,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,0.4662068965517241,-3
0.5242230189300328,0.00044920020419433686,31.78915620302909,-4.512615971509415,0.5880044509539781,0.8416166029492081,0.031443049875748,0.00045044012855235266,3,0.6313793103448275,0.1,0.3463648401538558,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,0.5313793103448275,-3
0.5242323693993488,0.00037981603836294693,37.99359292250665,-5.172170395561615,0.5572948254672155,0.8564356435643564,0.02631162505409456,0.0003796763261339947,3,0.696551724137931,0.1,0.3867262284620293,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,0.596551724137931,-3
0.5242370204631449,0.0003192816879577145,45.56424829850059,-5.829895155413772,0.5194350128326628,0.8687188773200543,0.02194190518502648,0.0003188898539617207,3,0.7617241379310344,0.1,0.42807312189135066,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,0.6617241379310345,-3
0.524240218260165,0.0002672151754659925,54.80255331822314,-6.486245852274356,0.4775106883166545,0.8790658882402002,0.018244309309584532,0.0002668478386319189,3,0.8268965517241379,0.1,0.470442061208475,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,0.7268965517241379,-3
0.5242429032225311,0.00022284262018162855,66.07612717591468,-7.141653075288254,0.43393520844821737,0.8879010436799382,0.015132304461080572,0.00022255067611056287,3,0.8920689655172412,0.1,0.5138714162749122,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,0.7920689655172413,-3
0.5242453144146751,0.0001852879707418198,79.83351224507156,-7.796490346113451,0.39051657341324836,0.8955331412103746,0.012525056814571714,0.00018506682897071348,3,0.9572413793103447,0.1,0.5584015019444817,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,0.8572413793103447,-3
0.524247494433913,0.0001536802461681379,96.62205962100737,-8.451061472137788,0.3485453597115523,0.9021922428330522,0.010349025255052787,0.00015351505163590666,3,1.0224137931034483,0.1,0.6040747028862479,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,0.9224137931034483,-3
0.5242494428050467,0.00012719981075996547,117.10972022180019,-9.10560086810468,0.3088881966559868,0.9080532656943564,0.008538672422170627,0.00012707659751334056,3,1.0875862068965516,0.1,0.6509356081452944,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,0.9875862068965516,-3
0.5242511583831962,0.00010509964727962273,142.11162468935066,-9.760280626164212,0.2720769434644772,0.9132515704457075,0.007036536502296121,0.00010500741914256708,3,1.1527586206896552,0.1,0.6990311563393043,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,1.052758620689655,-3
0.5242526479731777,8.671383613952241e-05,172.62251576322316,-10.415220163550217,0.23838808680363008,0.9178935447338618,0.0057928827364965305,8.664439630799255e-05,3,1.2179310344827585,0.1,0.7484107924848141,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,1.1179310344827584,-3
0.524253925609873,7.145854501322325e-05,209.85632582707794,-11.070496141918158,0.20791000887927072,0.9220639613007255,0.00476510647192591,7.140589919752255e-05,3,1.283103448275862,0.1,0.7991266375545851,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,1.183103448275862,-3
0.5242550099990677,5.882851001740704e-05,255.2944751619002,-11.726151590300606,0.1805978203857755,0.9258312020460358,0.003917012574026057,5.878830019444545e-05,3,1.3482758620689654,0.1,0.8512336719883888,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,1.2482758620689653,-3
0.524255922112994,4.8390948247827674e-05,310.74481282716135,-12.382203854191951,0.15631664510818571,0.9292510368382532,0.0032180564606536116,4.836000592294932e-05,3,1.413448275862069,0.1,0.9047899345154883,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,1.313448275862069,-3
0.5242566834226097,3.977821460760814e-05,378.41354534613316,-13.03865131941707,0.1348748289025289,0.9323694029850745,0.0026426014351451795,3.97542289158434e-05,3,1.4786206896551723,0.1,0.9598567378003283,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,1.3786206896551723,-3
0.5242573146998523,3.2680076287678396e-05,460.9930150222963,-13.695478984634743,0.11604873638994488,0.9352244806790261,0.002169224661655516,3.2661353316263946e-05,3,1.543793103448276,0.1,1.0164989025959283,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,1.4437931034482758,-3
0.5242578352645153,2.683615925729692e-05,561.7688203091346,-14.35266298828239,0.09960075516400983,0.9378482640377196,0.0017800885706861249,2.6821449373492664e-05,3,1.6089655172413793,0.1,1.0747850122850122,0.05,1,1,0.1,0.2,3000,3000,1,0.8,0.7,0.05,0.05,1,False,False,False,False,True,1e-06,True,True,1.5089655172413792,-3
